"FOLKLORE PROGRAM","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"380
FOLKLORE","","","","","","","","","","","","","","","","","","",""
"","100
001","28","3.556","57.1","21.4","10.7",".","3.6",".","3.6","3.6",".",".",".",".",".",".",".","."
"","100
002","49","3.578","49.0","28.6","6.1","4.1","2.0",".","2.0","6.1",".",".",".",".",".","2.0",".","."
"","100
004","29","3.357","34.5","24.1","31.0","3.4",".",".","3.4",".",".",".",".",".",".",".",".","3.4"
"Introduction to Folklore","Course Total","106","3.510","47.2","25.5","14.2","2.8","1.9",".","2.8","3.8",".",".",".",".",".","0.9",".","0.9"
"Intro-Mus Cult of the World","103
001","21","3.079","4.8","33.3","33.3","9.5","9.5",".",".","9.5",".",".",".",".",".",".",".","."
"The African Storyteller","210
001","103","2.867","22.3","10.7","19.4","18.4","19.4","2.9","1.9","4.9",".",".",".",".",".",".",".","."
"The Folk Tale","220
001","34","3.426","32.4","29.4","32.4","2.9","2.9",".",".",".",".",".",".",".",".",".",".","."
"Heroes, Rogues & Scoundrels","237
001","7","3.167","14.3","28.6","28.6",".","14.3",".",".","14.3",".",".",".",".",".",".",".","."
"Folklore of Wisconsin","320
001","44","3.690","45.5","40.9","9.1",".",".",".",".","4.5",".",".",".",".",".",".",".","."
"In Trans:Mythlgy-Scandnavia","342
001","16","3.181","18.8","43.8","18.8","6.3",".",".","6.3",".",".",".",".",".","6.3",".",".","."
"Lit in Trans-Icelandic Saga","346
001","11","3.039",".","27.3","54.5","18.2",".",".",".",".",".",".",".",".",".",".",".","."
"Javanese Performance","353
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Indian Folklore","374
001","17","3.469","29.4","29.4","35.3",".",".",".",".","5.9",".",".",".",".",".",".",".","."
"","399
010","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
011","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Dir Stdy-Folklore Undergrad","Course Total","5","***","","","","","","","","","","","","","","","",""
"Practicum in Public Folklore","491
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Seminar-American Folklore","630
001","13","3.885","84.6","7.7","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
010","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
011","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independ Stdy-Folklore Grad","Course Total","2","***","","","","","","","","","","","","","","","",""
"Smr: Topics-Turkish Oral Narr","875
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"FOLKLORE
380","Dept. Total","386","3.321","35.2","24.1","19.7","7.3","6.7","0.8","1.6","3.9",".",".",".",".","0.3","0.3",".","0.3"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"380
FOLKLORE","","","","","","","","","","","","","","","","","","",""
"Freshmen","","44","3.408","43.2","25.0","18.2","6.8","4.5",".","2.3",".",".",".",".",".",".",".",".","."
"Sophomore","","82","3.214","29.3","25.6","23.2","7.3","9.8","2.4","1.2","1.2",".",".",".",".",".",".",".","."
"Junior","","87","3.062","29.9","18.4","20.7","11.5","12.6",".","4.6","1.1",".",".",".",".",".","1.1",".","."
"Senior","","157","3.459","36.3","26.8","19.7","5.1","3.2","0.6",".","7.0",".",".",".",".","0.6",".",".","0.6"
"Undergraduates","","370","3.301","34.1","24.3","20.5","7.3","7.0","0.8","1.6","3.5",".",".",".",".","0.3","0.3",".","0.3"
"Special","","6","3.591","33.3","16.7",".","16.7",".",".",".","33.3",".",".",".",".",".",".",".","."
"Graduate","","10","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","Dept. Total","386","3.321","35.2","24.1","19.7","7.3","6.7","0.8","1.6","3.9",".",".",".",".","0.3","0.3",".","0.3"
