"INTEGRATED LIBERAL STUDIES Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","",""
"500
ILS","","","","","","","","","","","","","","","","","",""
"198
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"198
008","16","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"198
009","14","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"198
010","16","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"198
011","11","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"198
013","13","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"198
014","15","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"198
016","16","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"198
017","4","***","","","","","","","","","",".",".",".",".",".",".","."
"198
023","15","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"198
025","16","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"198
031","16","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"198
032","16","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"198
038","16","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"198
040","17","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"198
045","10","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"198
081","7","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"198
083","4","***","","","","","","","","","",".",".",".",".",".",".","."
"198
084","5","***","","","","","","","","","",".",".",".",".",".",".","."
"198
085","6","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"198
090","10","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Course Total
Directed Study","244","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"199
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"199
062","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"199
063","11","3.545","9.1","90.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"199
065","8","3.813","62.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Course Total
Directed Study","31","3.803","54.8","41.9",".",".",".",".",".",".",".",".",".",".",".",".","3.2","."
"001
200
Critical Thinkng & Expressn","61","3.492","21.3","57.4","19.7","1.6",".",".",".",".",".",".",".",".",".",".",".","."
"201
001
W Culture:Sci,Tech,Philos I","224","3.191","19.2","25.4","39.7","8.0","4.5","2.2",".",".",".",".",".",".",".","0.4","0.4","."
"203
001","265","3.528","46.0","29.8","16.6","1.5","4.5","0.4","0.8",".",".",".",".",".",".","0.4",".","."
"203
002","26","",".",".",".",".",".",".",".","92.3","3.8",".",".",".","3.8",".",".","."
"Course Total
West Culture:Lit&The Arts I","291","3.528","41.9","27.1","15.1","1.4","4.1","0.3","0.7","8.2","0.3",".",".",".","0.3","0.3",".","."
"205
001
W Cult:Pol,Econ&Soc Thght I","243","3.259","17.3","42.0","23.9","9.1","4.5","1.2","0.4",".",".",".",".",".",".",".","1.6","."
"206
001
W Cul:Pol,Econ&Soc Thght II","16","3.813","62.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"209
001
Intro to Global Cultures","286","3.411","28.0","37.4","28.3","3.5","1.7","1.0",".",".",".",".",".",".",".",".",".","."
"237
001
Heroes, Rogues & Scoundrels","4","***","","","","","","","","","",".",".",".",".",".",".","."
"251
001
Contemporary Phy Sciences","13","3.846","84.6",".","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"253
001
Literature and Society","24","3.917","87.5","8.3","4.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"275
001","9","2.944","22.2","33.3","22.2",".",".","22.2",".",".",".",".",".",".",".",".",".","."
"275
002","8","3.188","12.5","50.0","12.5","12.5","12.5",".",".",".",".",".",".",".",".",".",".","."
"Course Total
Special Topics in ILS","17","3.059","17.6","41.2","17.6","5.9","5.9","11.8",".",".",".",".",".",".",".",".",".","."
"002
400
Capstone Integration Seminar","19","3.421","42.1","36.8","5.3","5.3","5.3","5.3",".",".",".",".",".",".",".",".",".","."
"490
022","1","***","","","","","","","","","",".",".",".",".",".",".","."
"490
040","22","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"April 02, 2013","","","","","","","","","","","","","","","","","Page 224 of 391",""
