"MECHANICAL ENGINEERING","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"612
M E","","","","","","","","","","","","","","","","","","",""
"Cooperative Education Prog","1
001","34","3.985","97.1","2.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","160
001","21","3.310","28.6","33.3","33.3",".",".",".","4.8",".",".",".",".",".",".",".",".","."
"","160
002","21","3.262","28.6","23.8","23.8","19.0","4.8",".",".",".",".",".",".",".",".",".",".","."
"","003
160","23","3.500","52.2","30.4","4.3","8.7",".",".","4.3",".",".",".",".",".",".",".",".","."
"Architectural Graphics","Course Total","65","3.362","36.9","29.2","20.0","9.2","1.5",".","3.1",".",".",".",".",".",".",".",".","."
"","170
001","19","3.211","26.3","42.1","5.3","21.1",".",".","5.3",".",".",".",".",".",".",".",".","."
"","170
002","20","3.350","25.0","40.0","20.0","10.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"","170
003","17","3.500","29.4","35.3","29.4",".",".",".",".",".",".",".",".",".","5.9",".",".","."
"Civil Engineering Graphics","Course Total","56","3.345","26.8","39.3","17.9","10.7","1.8",".","1.8",".",".",".",".",".","1.8",".",".","."
"Intro Engineering Graphics","231
001","100","3.165","33.0","17.0","17.0","20.0","12.0",".","1.0",".",".",".",".",".",".",".",".","."
"Geom Modeling-Engr Applcatn","001
232","64","2.802","17.2","15.6","18.8","23.4","17.2","3.1","3.1","1.6",".",".",".",".",".",".",".","."
"","240
001","46","2.728","23.9","13.0","13.0","28.3","8.7","4.3","8.7",".",".",".",".",".",".",".",".","."
"","240
003","41","3.110","34.1","14.6","7.3","31.7","9.8","2.4",".",".",".",".",".",".",".",".",".","."
"Dynamics","Course Total","87","2.908","28.7","13.8","10.3","29.9","9.2","3.4","4.6",".",".",".",".",".",".",".",".","."
"","291
017","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","291
021","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","291
050","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","291
059","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Undergrad Mech Engr Project","Course Total","9","3.792","66.7","22.2",".","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"","299
021","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
050","17","3.981","94.1","5.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Independent Study","Course Total","18","3.982","94.4","5.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","306
001","33","2.894","15.2","15.2","33.3","24.2","6.1","3.0","3.0",".",".",".",".",".",".",".",".","."
"","306
002","62","2.653","8.1","17.7","22.6","19.4","22.6","9.7",".",".",".",".",".",".",".",".",".","."
"Mechanics of Materials","Course Total","95","2.737","10.5","16.8","26.3","21.1","16.8","7.4","1.1",".",".",".",".",".",".",".",".","."
"","307
001","14","3.143","21.4",".","71.4",".","7.1",".",".",".",".",".",".",".",".",".",".","."
"","307
002","9","3.500","44.4","11.1","44.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","004
307","11","3.500","27.3","45.5","27.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","307
005","11","3.318","9.1","45.5","45.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","307
006","13","3.231","15.4","23.1","53.8","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"","307
007","17","3.471","47.1","5.9","41.2","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"","307
008","12","3.000","25.0",".","50.0",".","25.0",".",".",".",".",".",".",".",".",".",".","."
"Mechanics of Materials Lab","Course Total","87","3.305","27.6","17.2","48.3","2.3","4.6",".",".",".",".",".",".",".",".",".",".","."
"","001
313","49","3.214","16.3","34.7","28.6","16.3","4.1",".",".",".",".",".",".",".",".",".",".","."
"","313
002","51","3.167","21.6","33.3","21.6","11.8","7.8","3.9",".",".",".",".",".",".",".",".",".","."
"Manufacturing Processes","Course Total","100","3.190","19.0","34.0","25.0","14.0","6.0","2.0",".",".",".",".",".",".",".",".",".","."
"","314
001","42","2.952","7.1","19.0","42.9","23.8","4.8","2.4",".",".",".",".",".",".",".",".",".","."
"","002
314","42","2.833","14.3","11.9","38.1","16.7","9.5","9.5",".",".",".",".",".",".",".",".",".","."
"Intro-Competitv Manufactrng","Course Total","84","2.893","10.7","15.5","40.5","20.2","7.1","6.0",".",".",".",".",".",".",".",".",".","."
"","001
340","57","2.649","5.3","21.1","17.5","31.6","15.8","7.0","1.8",".",".",".",".",".",".",".",".","."
"","340
002","51","2.549","3.9","9.8","27.5","33.3","15.7","7.8","2.0",".",".",".",".",".",".",".",".","."
"Intro to Dynamic Systems","Course Total","108","2.602","4.6","15.7","22.2","32.4","15.7","7.4","1.9",".",".",".",".",".",".",".",".","."
"","342
001","31","2.581","6.5","9.7","32.3","29.0","9.7","9.7","3.2",".",".",".",".",".",".",".",".","."
"","342
002","45","2.722","8.9","20.0","15.6","31.1","17.8","6.7",".",".",".",".",".",".",".",".",".","."
"April 02, 2013","","","","","","","","","","","","","","","","","","Page 129 of 391",""
