"CHEMICAL & BIOLOGICAL ENGR Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"220
CBE","","","","","","","","","","","","","","","","","","","",""
"735","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Kinetics and Catalysis","Course Total","","33","3.379","27.3","24.2","45.5","3.0",".",".",".",".",".",".",".",".",".",".",".","."
"790","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","011","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Master's Research or Thesis","Course Total","","5","***","","","","","","","","","","","","","","","",""
"890","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"890","002","","12","",".",".",".",".",".",".",".","25.0",".",".",".","75.0",".",".",".","."
"890","003","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"890","005","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"890","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"890","008","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"890","009","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"890","010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"890","011","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"890","012","","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"890","013","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"890","015","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"890","016","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"890","018","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"890","019","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Pre-Dissertator's Research","Course Total","","65","",".",".",".",".",".",".",".","83.1","1.5",".",".","15.4",".",".",".","."
"920
Smr:Adv in Transport Phenom","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"925","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"925","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Rheology Research Seminar","Course Total","","5","***","","","","","","","","","","","","","","","",""
"932
Biotechnol Traing Prgm Smr","001","","7","3.857","85.7",".","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"960
Research Seminar","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"961
Seminar-Chem Engineering","002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","003","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","014","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","015","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","018","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Thesis-Research","Course Total","","22","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
