"ENGR PROFESSIONAL DEVELO Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"348
E P D","","","","","","","","","","","","","","","","","","",""
"Contemp Iss-Engr Profession","101
001","217","3.737","68.2","20.3","6.5","2.8","1.4","0.9",".",".",".",".",".",".",".",".",".","."
"Technical Info Resources","151
001","21","3.786","90.5","4.8",".",".",".",".","4.8",".",".",".",".",".",".",".",".","."
"","155
001","19","3.816","68.4","26.3","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
155","17","3.412","41.2","29.4","11.8","5.9","11.8",".",".",".",".",".",".",".",".",".",".","."
"","155
003","18","3.444","50.0","22.2","11.1","11.1",".","5.6",".",".",".",".",".",".",".",".",".","."
"","004
155","17","3.294","41.2","17.6","17.6","5.9","17.6",".",".",".",".",".",".",".",".",".",".","."
"","155
005","18","3.765","55.6","33.3","5.6",".",".",".",".",".",".",".",".",".",".","5.6",".","."
"","155
006","20","3.350","25.0","30.0","40.0",".","5.0",".",".",".",".",".",".",".",".",".",".","."
"","007
155","19","3.000","10.5","26.3","36.8","15.8","5.3","5.3",".",".",".",".",".",".",".",".",".","."
"","155
008","17","3.206","17.6","35.3","23.5","17.6","5.9",".",".",".",".",".",".",".",".",".",".","."
"","155
009","17","3.000","11.8","17.6","35.3","29.4","5.9",".",".",".",".",".",".",".",".",".",".","."
"","155
010","19","3.158","31.6","10.5","47.4",".","5.3",".","5.3",".",".",".",".",".",".",".",".","."
"","155
011","19","3.158",".","52.6","31.6","10.5","5.3",".",".",".",".",".",".",".",".",".",".","."
"","155
012","14","3.286","35.7","21.4","14.3","21.4","7.1",".",".",".",".",".",".",".",".",".",".","."
"","155
013","19","3.421","15.8","52.6","31.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Basic Communication","Course Total","233","3.332","30.9","29.2","24.5","8.6","5.2","0.9","0.4",".",".",".",".",".",".","0.4",".","."
"Introduction to Engineering","001
160","262","3.515","43.9","24.8","25.2","4.2","1.1","0.8",".",".",".",".",".",".",".",".",".","."
"","199
017","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","199
019","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Freshman Independent Study","Course Total","5","***","","","","","","","","","","","","","","","",""
"","275
001","16","3.875","81.3","12.5","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","275
002","17","3.971","94.1","5.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","275
003","17","3.765","64.7","23.5","11.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Technical Presentations","Course Total","50","3.870","80.0","14.0","6.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","330
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","330
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","330
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Basic Technical Japanese I","Course Total","5","***","","","","","","","","","","","","","","","",""
"","374
001","10","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","374
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","374
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Intermed Tech Japanese I","Course Total","12","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Technical Communication","397
001","165","3.658","58.2","24.2","12.1","4.2","0.6",".","0.6",".",".",".",".",".",".",".",".","."
"Tech Communications Intrshp","398
001","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Engr Applicatns of Statistics","416
001","29","3.966","96.6",".","3.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","430
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","430
003","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Japanese for Bus & Industry","Course Total","6","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Technical Editing","497
001","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Engr Economics & Management","611
001","31","3.984","96.8","3.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Technical Project Management","612
001","31","3.694","38.7","61.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intl Engr Strategies&Operatns","613
001","29","3.983","96.6","3.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","630
003","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","630
004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"April 02, 2013","","","","","","","","","","","","","","","","","","Page 123 of 391",""
