"","","Grades","GPA","","","","","","","","","","","","","","","",""
"346
E M A","","","","","","","","","","","","","","","","","","",""
"","990
054","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","6","",".",".",".",".",".",".",".","66.7",".",".",".","33.3",".",".",".","."
"E M A
346","Dept. Total","726","2.899","20.2","11.4","31.0","14.7","13.5","4.5","1.2","2.6",".",".",".","0.4","0.1","0.1",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"346
E M A","","","","","","","","","","","","","","","","","","",""
"Freshmen","","7","2.500","14.3","28.6",".","14.3","28.6",".","14.3",".",".",".",".",".",".",".",".","."
"Sophomore","","225","2.911","20.0","9.3","35.6","14.7","15.6","4.0","0.9",".",".",".",".",".",".",".",".","."
"Junior","","209","2.663","11.5","7.7","39.2","16.7","17.2","4.8","2.4",".",".",".",".",".",".","0.5",".","."
"Senior","","182","2.935","25.3","12.1","27.5","15.9","11.5","7.1","0.5",".",".",".",".",".",".",".",".","."
"Undergraduates","","623","2.834","18.6","9.8","34.0","15.7","15.1","5.1","1.4",".",".",".",".",".",".","0.2",".","."
"Special","","3","2.500",".",".","33.3","33.3","33.3",".",".",".",".",".",".",".",".",".",".","."
"Graduate","","100","3.424","31.0","22.0","12.0","8.0","3.0","1.0",".","19.0",".",".",".","3.0","1.0",".",".","."
"","Dept. Total","726","2.899","20.2","11.4","31.0","14.7","13.5","4.5","1.2","2.6",".",".",".","0.4","0.1","0.1",".","."
