"CHEMISTRY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"224
CHEM","","","","","","","","","","","","","","","","","","","",""
"636
Topics-Chem Instrumentatn: NMR","001","","24","3.708","62.5","16.7","20.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"641
Advanced Organic Chemistry","001","","42","3.405","33.3","19.0","42.9","4.8",".",".",".",".",".",".",".",".",".",".",".","."
"661
Chem & Stat Thermodynamics","001","","23","3.304","34.8","8.7","39.1","17.4",".",".",".",".",".",".",".",".",".",".",".","."
"664
Phys Chem of Macromolecules","001","","12","3.569","25.0","50.0","16.7",".",".",".",".","8.3",".",".",".",".",".",".",".","."
"665
Biophysical Chemistry","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"675
Intro Quantum Chemistry","001","","21","3.500","38.1","33.3","23.8",".","4.8",".",".",".",".",".",".",".",".",".",".","."
"681","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","036","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","050","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","059","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","6","3.895","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"692
Senior Thesis","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","028","","9","3.950","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","035","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","036","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","039","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","043","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","047","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","050","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","054","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","058","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","34","3.893","91.2","5.9","2.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"714
Organometal-Transitn Elemts","001","","28","3.642","39.3","46.4","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"762
Molecular Reaction Dynamics","001","","10","3.714","50.0","40.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"860
Topics-Physical Chemistry","001","","7","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"901
Smr-Teaching of Chemistry","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"923","039","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"923","049","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Spctroscpy&Spectrochem Anal","Course Total","","3","***","","","","","","","","","","","","","","","",""
"925
Rheology Research Seminar","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"941","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"941","047","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Synthetic Organic Chemistry","Course Total","","4","***","","","","","","","","","","","","","","","",""
