"PhD Thesis-Management","Course Total","8","",".",".",".",".",".",".",".","100.0",".",".",".","",".",".",".",".","."
"","999
002","3","***","","","","","","","","","",".",".",".","",".",".",".","."
"","999
062","2","***","","","","","","","","","",".",".",".","",".",".",".","."
"Read&Rsch-Mgmt&H Resrcs PhD","Course Total","5","***","","","","","","","","","","","","","","","","",""
"M H R
236","Dept. Total","1466","3.389","40.8","22.9","24.6","2.9","5.7","1.2","0.5","1.0","0.1",".",".","",".","0.3","0.1","0.1","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"236
M H R","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","2","3.250","50.0",".",".","50.0",".",".",".",".",".",".",".","",".",".",".",".","."
"Junior","","421","3.190","28.5","13.3","41.1","5.7","9.7","1.4","0.2",".",".",".",".","",".",".",".",".","."
"Senior","","423","3.242","33.1","22.7","25.3","4.0","9.2","2.6","1.4","1.2","0.2",".",".","",".","0.2",".",".","."
"Undergraduates","","846","3.216","30.9","18.0","33.1","5.0","9.5","2.0","0.8","0.6","0.1",".",".","",".","0.1",".",".","."
"Special","","78","3.537","46.2","29.5","19.2","1.3","1.3",".","1.3","1.3",".",".",".","",".",".",".",".","."
"Graduate","","536","3.718","55.4","29.9","11.9",".","0.4",".",".","1.5",".",".",".","",".","0.6","0.2","0.2","."
"Prof Yr 2","","5","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".","",".",".",".",".","."
"Prof Yr 3","","1","3.000",".",".","100.0",".",".",".",".",".",".",".",".","",".",".",".",".","."
"Professionals","","6","3.750","66.7","16.7","16.7",".",".",".",".",".",".",".",".","",".",".",".",".","."
"","Dept. Total","1466","3.389","40.8","22.9","24.6","2.9","5.7","1.2","0.5","1.0","0.1",".",".","",".","0.3","0.1","0.1","."
