"MED","","","","","","","","","","","","","","","","","","","","","","",""
"PHYSIOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"762
PHYSIOL","","","","","","","","","","","","","","","","","","","","","","",""
"PHYSIOL
762","Dept. Total","644","2.999","34.6","8.7","28.6","1.4","13.8","5.1","1.4","5.3","",".","0.8","",".","",".","",".",".","0.3","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"762
PHYSIOL","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","83","2.675","22.9","3.6","37.3","3.6","16.9","8.4","7.2",".","",".",".","",".","",".","",".",".",".","."
"Junior","","182","2.801","24.2","3.3","38.5","1.6","22.0","9.3","1.1",".","",".",".","",".","",".","",".",".",".","."
"Senior","","120","2.930","37.5","7.5","28.3","1.7","17.5","6.7","0.8",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","385","2.809","28.1","4.7","35.1","2.1","19.5","8.3","2.3",".","",".",".","",".","",".","",".",".",".","."
"Special","","14","3.231","28.6","14.3","35.7",".","14.3",".",".",".","",".",".","",".","",".","",".",".","7.1","."
"Graduate","","155","3.769","52.3","17.4","5.2",".",".",".",".","21.3","",".","3.2","",".","",".","",".",".","0.6","."
"Prof Yr 1","","86","3.225","32.6","10.5","41.9","1.2","14.0",".",".",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 2","","2","1.500","50.0",".",".",".",".","50.0",".",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 3","","2","4.000","50.0",".",".",".",".",".",".","50.0","",".",".","",".","",".","",".",".",".","."
"Professionals","","90","3.203","33.3","10.0","40.0","1.1","13.3","1.1",".","1.1","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","644","2.999","34.6","8.7","28.6","1.4","13.8","5.1","1.4","5.3","",".","0.8","",".","",".","",".",".","0.3","."
