"ART DEPARTMENT","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"168
ART","","","","","","","","","","","","","","","","","","","",""
"Photography","","Course Total","30","3.617","56.7","26.7","6.7","3.3","6.7",".",".",".",".",".",".",".",".",".",".","."
"","412","001","6","3.750","66.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","412","002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Intermediate Drawing II","","Course Total","7","3.643","57.1","14.3","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Sound Dsgn-Perf/Visual Arts","420","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","422","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","422","002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Intermediate Painting II","","Course Total","6","3.750","66.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Computer Imaging Techniques","428","001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","448","001","15","3.898","93.3",".",".","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"","448","002","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","448","003","15","4.000","86.7",".",".",".",".",".",".",".",".",".",".",".","13.3",".",".","."
"Special Topics","","Course Total","38","3.958","92.1",".",".","2.6",".",".",".",".",".",".",".",".","5.3",".",".","."
"Concept&Methodol of Figuration","452","001","7","3.571","42.9","42.9",".","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"Neon: Light as Sculpture","454","001","14","3.577","42.9","21.4","28.6",".",".",".",".",".",".",".",".",".","7.1",".",".","."
"Intermediate Photography","476","001","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Relief Printmaking","506","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Colloquium in Art","508","001","135","3.936","93.3","2.2","0.7",".","2.2",".",".","0.7",".",".",".",".",".",".","0.7","."
"Advanced Drawing I","512","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Sculpture I","514","001","7","3.000","14.3","57.1","14.3",".",".",".","14.3",".",".",".",".",".",".",".",".","."
"Artist's Video","518","001","8","3.750","62.5","25.0","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","522","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","522","002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","522","003","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Painting I","","Course Total","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Ceramics I","524","001","12","3.667","41.7","50.0","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Etching/Intaglio","526","001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Computer-Mediated Art","528","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Life Drawing I","532","001","10","3.750","80.0",".","10.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Wood Working","534","001","13","3.615","69.2","15.4","7.7",".",".","7.7",".",".",".",".",".",".",".",".",".","."
"Advanced Serigraphy","536","001","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Art Metal I","544","001","6","3.333","83.3",".",".",".",".",".","16.7",".",".",".",".",".",".",".",".","."
"","546","001","15","3.733","66.7","20.0","6.7","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"","546","002","17","3.735","64.7","29.4",".",".","5.9",".",".",".",".",".",".",".",".",".",".","."
"Adv Typography&Graphic Dsgn","","Course Total","32","3.734","65.6","25.0","3.1","3.1","3.1",".",".",".",".",".",".",".",".",".",".","."
"Adv Concpts&Meth-Figuratn I","552","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Glassworking","554","001","21","3.325","19.0","33.3","42.9","4.8",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Graphic Design Technlgy","556","001","6","3.333","83.3",".",".",".",".",".","16.7",".",".",".",".",".",".",".",".","."
"Interdis Studies in the Arts","569","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Photography","576","001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Interdis Critiq-Visual Arts","608","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Drawing II","612","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"April 02, 2013","","","","","","","","","","","","","","","","","","","","Page 74 of 391"
