"","","","","","","","","(Non-Cross Listed)","","","","","","","","","","","",""
"L&S","","","","","","","","","","","","","","","","","","","",""
"RELIGIOUS STUDIES","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"856
RELIG ST","","","","","","","","","","","","","","","","","","","",""
"Islam Wrld:MidEast,500-1500","205","002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro to Biblical Lit","227","001","79","3.599","38.0","43.0","12.7","1.3","1.3",".",".","2.5",".",".",".",".",".","1.3",".","."
"Biblical Poetry in Translation","237","001","15","2.700","13.3","26.7","13.3","20.0","13.3","6.7","6.7",".",".",".",".",".",".",".",".","."
"Lt Tran:Dante-Divine Comedy","253","001","40","3.243","10.0","40.0","30.0","10.0","2.5",".",".","2.5",".",".",".",".","2.5","2.5",".","."
"Intro-Philos of Religion","261","001","50","2.711","8.0","18.0","28.0","10.0","18.0","4.0","4.0","6.0",".",".",".",".",".",".","4.0","."
"Religion-Hist&Culture: East","273","001","92","3.381","12.0","53.3","26.1","4.3",".",".",".","2.2",".",".",".",".",".","1.1",".","1.1"
"Crusades: Christianity & Islam","309","001","12","3.910","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Sociol&Intel Hist 400-1200","317","001","9","3.400","55.6","11.1","22.2",".",".","11.1",".",".",".",".",".",".",".",".",".","."
"In Trans:Mythlgy-Scandnavia","342","001","8","3.583","37.5","25.0","25.0",".",".",".",".","12.5",".",".",".",".",".",".",".","."
"Anthropology of Religion","343","001","10","3.500","50.0","30.0","10.0",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Buddhism","364","001","191","3.000","9.4","23.6","40.8","8.9","8.9","1.6","1.6","5.2",".",".",".",".",".",".",".","."
"Islam: Religion and Culture","370","001","72","3.181","34.7","15.3","26.4","9.7","9.7","2.8","1.4",".",".",".",".",".",".",".",".","."
"The Rhetoric of Religion","374","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Civilization-Ancient Egypt","375","001","19","2.824","10.5","21.1","42.1",".","5.3",".","10.5","10.5",".",".",".",".",".",".",".","."
"Jewish Cultural History","377","001","47","3.609","40.4","42.6","12.8",".","2.1",".",".","2.1",".",".",".",".",".",".",".","."
"","400","001","42","3.451","50.0","19.0","14.3","7.1","4.8",".","2.4","2.4",".",".",".",".",".",".",".","."
"","400","002","17","3.559","52.9","23.5","11.8",".","11.8",".",".",".",".",".",".",".",".",".",".","."
"Topics in Relig St-Humanities","","Course Total","59","3.486","50.8","20.3","13.6","5.1","6.8",".","1.7","1.7",".",".",".",".",".",".",".","."
"Intro-Religions of South Asia","416","001","33","3.136","9.1","45.5","27.3","12.1","3.0",".","3.0",".",".",".",".",".",".",".",".","."
"Am Relig Hist to Mid-19th c","451","001","7","3.143","14.3","14.3","57.1","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"Buddhist Ethics","453","001","16","3.781","75.0","6.3","18.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Philosophy of Religion","501","001","15","2.967","40.0","6.7","13.3","13.3","20.0",".","6.7",".",".",".",".",".",".",".",".","."
"Religion and Public Education","516","001","23","3.614","34.8","47.8","13.0",".",".",".",".","4.3",".",".",".",".",".",".",".","."
"Religion-Critical Perspective","600","001","20","3.600","55.0","25.0","5.0","15.0",".",".",".",".",".",".",".",".",".",".",".","."
"Jewish Law and Ethics","613","001","6","3.333","16.7","33.3","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Sociology of Religion","615","001","11","3.050","36.4","9.1","27.3",".","9.1",".","9.1","9.1",".",".",".",".",".",".",".","."
"Sanskrit and Asian Cultures","625","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Proseminar in Buddhist Thought","650","001","10","3.150","20.0","50.0","20.0",".",".",".","10.0",".",".",".",".",".",".",".",".","."
"Senior Honors Thesis","681","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research Colloquium for Majors","695","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","697","002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","697","041","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","697","042","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Research for Major","","Course Total","3","***","","","","","","","","","","","","","","","",""
