"VET","","","","","","","","","","","","","","","","","","","",""
"COMPARATIVE BIOSCIENCES","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"934
COMP BIO","","","","","","","","","","","","","","","","","","","",""
"500
Fund Principles-Vet Anatomy","001","","84","3.410","41.7","20.2","15.5","20.2","1.2",".",".",".",".",".",".",".","1.2",".",".","."
"501
Veterinary Histology","001","","84","2.946","7.1","35.7","26.2","13.1","9.5","7.1",".",".",".",".",".",".","1.2",".",".","."
"503
Veterinary Develomntl Anat","001","","84","3.410","29.8","34.5","22.6","10.7","1.2",".",".",".",".",".",".",".","1.2",".",".","."
"551
Veterinary Physiology A","001","","84","2.964","17.9","10.7","46.4","6.0","15.5","2.4","1.2",".",".",".",".",".",".",".",".","."
"699","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","017","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","5","***","","","","","","","","","","","","","","","",""
