"EDUCATIONAL PSYCHOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"315
ED PSYCH","","","","","","","","","","","","","","","","","","",""
"","301
001","203","3.254","22.2","37.4","16.3","17.7","3.9","1.5",".","1.0",".",".",".",".",".",".",".","."
"","301
002","172","3.910","89.0","7.6","2.9",".",".",".","0.6",".",".",".",".",".",".",".",".","."
"Human Abilities & Learning","Course Total","375","3.557","52.8","23.7","10.1","9.6","2.1","0.8","0.3","0.5",".",".",".",".",".",".",".","."
"","320
001","129","3.192","22.5","29.5","22.5","17.1","7.8",".","0.8",".",".",".",".",".",".",".",".","."
"","002
320","178","3.402","53.4","13.5","12.9","9.6","7.3","2.2","1.1",".",".",".",".",".",".",".",".","."
"Human Dev-Infancy&Childhood","Course Total","307","3.315","40.4","20.2","16.9","12.7","7.5","1.3","1.0",".",".",".",".",".",".",".",".","."
"Human Develop-Adolescence","321
001","172","3.627","54.1","23.8","14.0","4.1","2.3",".",".","1.7",".",".",".",".",".",".",".","."
"Hum Devel Chldhood-Adolescn","331
001","42","3.679","71.4","11.9","9.5",".","4.8","2.4",".",".",".",".",".",".",".",".",".","."
"Adolscnt Develp-Educ Contxt","521
001","75","3.867","74.7","24.0","1.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Prof School Psych","540
001","10","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Appl Behav Anal in Classrms","541
001","7","4.000","85.7",".",".",".",".",".",".",".",".",".",".",".",".","14.3",".","."
"Found of Ed Measurement","001
570","18","3.917","88.9","5.6","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
013","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
017","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
057","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Ind Reading-Undergrad","Course Total","3","***","","","","","","","","","","","","","","","",""
"Smr-Research in Ed Psych I","709
001","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","711
001","25","3.848","64.0","28.0",".",".",".",".",".","8.0",".",".",".",".",".",".",".","."
"","711
003","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","711
005","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","711
006","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","711
007","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Current Topics-Ed Psych","Course Total","64","3.938","85.9","10.9",".",".",".",".",".","3.1",".",".",".",".",".",".",".","."
"Theory & Issues-Human Dev","725
001","11","3.727","63.6","18.2","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Assessment Techniques","745
001","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","760
001","46","3.689","56.5","21.7","19.6",".",".",".",".",".",".",".",".",".",".","2.2",".","."
"","760
002","14","3.821","71.4","21.4","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Stat Meth Appl to Educ I","Course Total","60","3.720","60.0","21.7","16.7",".",".",".",".",".",".",".",".",".",".","1.7",".","."
"Intro: Dsgn-Ed Experiments","762
001","30","3.600","40.0","40.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Tools for Thought","792
001","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Cognition&Classrm Learng I","795
001","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","840
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","840
002","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","840
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Clinical Pract-School Psych","Course Total","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Chld&Adoles Psychpathl/Schl","844
001","12","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Stat Anal & Design-Ed Rsch","861
001","20","3.700","60.0","20.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Test Theory I","870
001","9","3.857","55.6","22.2",".",".",".",".",".","22.2",".",".",".",".",".",".",".","."
"Prevention Science","880
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Smr-Adolescent Development","921
001","15","3.857","66.7","26.7",".",".",".",".",".",".",".",".",".",".","6.7",".",".","."
"Internshp-School Psychology","943
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Child,Adoles&Fam Psychother","947
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
