"LIFE SCIENCES COMMUNICATIO Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"120
L SC COM","","","","","","","","","","","","","","","","","","",""
"","100
001","19","3.447","31.6","36.8","21.1","10.5",".",".",".",".",".",".",".",".",".",".",".","."
"","100
002","20","3.750","60.0","30.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
100","18","3.444","38.9","27.8","22.2","5.6","5.6",".",".",".",".",".",".",".",".",".",".","."
"","100
004","21","3.619","47.6","28.6","23.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
005","17","3.118","29.4","23.5","17.6","11.8","11.8","5.9",".",".",".",".",".",".",".",".",".","."
"","100
006","19","3.842","73.7","21.1","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro Com: Inquiry&Expositn","Course Total","114","3.548","47.4","28.1","16.7","4.4","2.6","0.9",".",".",".",".",".",".",".",".",".","."
"","001
111","19","3.526","57.9",".","36.8",".","5.3",".",".",".",".",".",".",".",".",".",".","."
"","111
002","20","3.175","10.0","55.0","15.0","10.0","5.0","5.0",".",".",".",".",".",".",".",".",".","."
"Sci&Technology Newswriting","Course Total","39","3.346","33.3","28.2","25.6","5.1","5.1","2.6",".",".",".",".",".",".",".",".",".","."
"Family & Consumer Newswrtg","130
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Reporting","204
001","8","2.813","25.0","37.5",".",".","25.0",".","12.5",".",".",".",".",".",".",".",".","."
"","212
001","17","3.853","82.4","5.9","11.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","212
003","17","3.765","58.8","35.3","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","212
005","18","3.118","5.6","22.2","61.1",".","5.6",".",".","5.6",".",".",".",".",".",".",".","."
"Intro-Scientific Communication","Course Total","52","3.578","48.1","21.2","26.9",".","1.9",".",".","1.9",".",".",".",".",".",".",".","."
"","299
012","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
025","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
029","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
031","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
033","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
035","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
04","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","19","3.930","89.5","10.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Feature Writing","320
001","12","3.458","41.7","16.7","33.3","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"Contemp Comm Tech&Soc Effct","340
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Practicum in Agri-science Educ","345
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Visualizing Sci & Technology","350
001","19","3.868","73.7","26.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Information Radio","360
001","13","3.808","61.5","38.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","375
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
012","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
024","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
025","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
026","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
029","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
033","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
078","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","Course Total","12","3.864","91.7",".",".","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"Consumer Investgtv Reportng","001
430","7","3.571","42.9","28.6","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Agricultural Advertising","431
001","25","3.520","44.0","36.0","12.0","4.0",".","4.0",".",".",".",".",".",".",".",".",".","."
"Integrated Marktng Communicatn","435
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Stdt Teaching in Agri-sci Educ","445
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
