"L&S","","","","","","","","","","","","","","","","","","","",""
"FRENCH (FRENCH AND ITALIAN) Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"400
FRENCH","","","","","","","","","","","","","","","","","","","",""
"","228
005","","21","3.826","71.4","23.8","4.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intermed Language & Culture","Course Total","","79","3.694","51.9","34.2","11.4","1.3",".",".",".","1.3",".",".",".",".",".",".",".","."
"","271
001","","8","3.643","50.0","12.5","25.0",".",".",".",".",".",".",".",".",".",".","12.5",".","."
"","002
271","","23","3.783","60.9","34.8","4.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
271","","19","3.500","26.3","47.4","15.8","5.3",".",".",".","5.3",".",".",".",".",".",".",".","."
"","271
004","","22","3.523","31.8","40.9","27.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Literary Analysis","Course Total","","72","3.614","41.7","37.5","16.7","1.4",".",".",".","1.4",".",".",".",".",".","1.4",".","."
"3rd Sem French-Honors","283
001","","20","3.525","35.0","45.0","15.0",".","5.0",".",".",".",".",".",".",".",".",".",".","."
"4th Sem French-Honors","284
001","","14","3.308","28.6","42.9","14.3",".",".",".","7.1","7.1",".",".",".",".",".",".",".","."
"Intermed Lang&Cultr-Honors","001
287","","22","3.659","40.9","50.0","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Practical French Converstn","301
001","","38","3.934","92.1","2.6","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","311
000A","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","311
001","","18","3.686","50.0","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Avance express orale&ecrite","Course Total","","19","3.508","47.4","31.6","15.8",".",".",".","5.3",".",".",".",".",".",".",".",".","."
"Intro to Business French","313
001","","18","3.797","61.1","33.3","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","321
001","","19","3.582","52.6","26.3","10.5","5.3","5.3",".",".",".",".",".",".",".",".",".",".","."
"","321
002","","25","3.677","52.0","36.0","4.0","8.0",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Middle Ages to Revol","Course Total","","44","3.636","52.3","31.8","6.8","6.8","2.3",".",".",".",".",".",".",".",".",".",".","."
"","001
322","","18","3.847","72.2","22.2","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","322
002","","20","3.247","5.0","55.0","25.0","10.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"","322
003","","18","3.680","66.7","11.1","16.7","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"Intro French Lit-19 & 20 C","Course Total","","56","3.571","46.4","30.4","16.1","5.4","1.8",".",".",".",".",".",".",".",".",".",".","."
"Civ Franc:orig au 18e siecl","347
001","","23","3.689","56.5","30.4","8.7","4.3",".",".",".",".",".",".",".",".",".",".",".","."
"French-Reading Knowledge","391
001","","19","3.842","73.7","21.1","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Romance Languages","429
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"French Lit-Middle Age&Renas","430
001","","10","3.855","80.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in French Literature","461
000A","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics in French Literature","462
001","","21","3.721","47.6","47.6","4.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Tech d Exprssn Ecrit&Oral I","523
001","","14","3.786","64.3","28.6","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Undergrad Smr-Fr Civ&Cultr","532
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Undergrad Smr-French Lit St","568
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"French Phonetics","590
001","","18","3.500","50.0","5.6","33.3",".","5.6",".",".","5.6",".",".",".",".",".",".",".","."
"Crit Approach to French Lit","626
001","","11","3.727","63.6","18.2","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Lit Francaise-XVIIIe Siecle","631
001","","7","3.786","71.4","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Litterature-XVIIe Siecle","001
640","","13","3.833","69.2","15.4","7.7",".",".",".",".","7.7",".",".",".",".",".",".",".","."
"Intro aux etudes francphone","665
001","","7","3.917","71.4","14.3",".",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"Senior Honors Thesis","681
008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","699
003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799
020","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","799
023","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799
024","","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","799
026","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"April 02, 2013","","","","","","","","","","","","","","","","","","","Page 203 of 391",""
