"","999
053","1","***","","","","","","","","","",".",".","",".",".","",".",".","."
"","999
061","3","***","","","","","","","","","",".",".","",".",".","",".",".","."
"","999
067","1","***","","","","","","","","","",".",".","",".",".","",".",".","."
"Advanced Independent Study","Course Total","8","4.000","62.5",".",".",".",".",".",".","37.5",".",".","",".",".","",".",".",".","."
"CIV ENGR
240","Dept. Total","1262","3.249","34.5","17.4","18.6","6.2","7.0","2.1","1.0","8.4","0.2",".","",".","4.4","",".","0.2",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"240
CIV ENGR","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","42","2.752","23.8","14.3","21.4","2.4","28.6","4.8","2.4","2.4",".",".","",".",".","",".",".",".","."
"Junior","","228","3.023","24.6","20.6","30.3","9.2","9.2","4.8","1.3",".",".",".","",".",".","",".",".",".","."
"Senior","","556","3.193","34.4","20.5","23.0","9.0","8.8","2.3","1.6",".",".",".","",".",".","",".","0.4",".","."
"Undergraduates","","826","3.124","31.1","20.2","24.9","8.7","9.9","3.1","1.6","0.1",".",".","",".",".","",".","0.2",".","."
"Special","","32","3.611","37.5","9.4","18.8",".","6.3",".",".","25.0","3.1",".","",".",".","",".",".",".","."
"Graduate","","404","3.736","41.3","12.1","5.7","1.5","1.0",".",".","24.0","0.5",".","",".","13.6","",".","0.2",".","."
"","Dept. Total","1262","3.249","34.5","17.4","18.6","6.2","7.0","2.1","1.0","8.4","0.2",".","",".","4.4","",".","0.2",".","."
