"OPERATIONS & TECHNOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"238
OTM","","","","","","","","","","","","","","","","","","",""
"","350
001","231","3.009","17.3","19.5","32.5","13.4","15.2","0.9","0.9","0.4",".",".",".",".",".",".",".","."
"","002
350","93","2.817","11.8","19.4","26.9","21.5","15.1","2.2","3.2",".",".",".",".",".",".",".",".","."
"Mgmt-Serv&Manufctng Operatn","Course Total","324","2.954","15.7","19.4","30.9","15.7","15.1","1.2","1.5","0.3",".",".",".",".",".",".",".","."
"Contemporary Topics","365
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Rdg&Rsch-Operatns&Info Mgmt","399
076","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Operations Research I","410
001","12","3.583","41.7","33.3","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Economics of Transportation","444
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Service Operations Mgmt","451
001","16","3.438","37.5","37.5","18.8",".",".","6.3",".",".",".",".",".",".",".",".",".","."
"Business Logistics Analysis","640
001","13","3.423","30.8","30.8","30.8","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"Operations Research I","001
710","19","3.737","63.2","21.1","15.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","730
001","38","3.333","31.6","23.7","21.1","13.2","5.3",".",".",".",".",".",".",".",".","5.3",".","."
"","730
002","32","3.484","28.1","46.9","15.6","3.1","3.1",".",".","3.1",".",".",".",".",".",".",".","."
"Managerial Economics","Course Total","70","3.403","30.0","34.3","18.6","8.6","4.3",".",".","1.4",".",".",".",".",".","2.9",".","."
"Economics of Transportation","744
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","750
001","49","3.724","81.6","8.2",".","2.0","6.1",".","2.0",".",".",".",".",".",".",".",".","."
"","002
750","48","3.885","83.3","12.5","2.1","2.1",".",".",".",".",".",".",".",".",".",".",".","."
"Operations Management","Course Total","97","3.804","82.5","10.3","1.0","2.1","3.1",".","1.0",".",".",".",".",".",".",".",".","."
"Service Operations Managmnt","751
001","7","3.714","57.1","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Manage Tech Change-Mfg Syst","758
001","24","3.708","45.8","50.0","4.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
001","38","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","765
030","38","3.934","89.5","7.9","2.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","78","3.962","93.6","5.1","1.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Qual&Prodtvty Imprvmt","770
001","20","3.900","85.0","10.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Rdg&Rsch-Operatns&Info Mgmt","799
37","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
030","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
037","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
076","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
093","1","***","","","","","","","","","",".",".",".",".",".",".","."
"PhD Thesis-Operatns&Inf Mgt","Course Total","5","***","","","","","","","","","","","","","","","",""
"","999
043","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
093","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
139","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Read&Rsch-Oper&Info Mgt PhD","Course Total","3","***","","","","","","","","","","","","","","","",""
