"L&S","","","","","","","","","","","","","","","","","","","","",""
"CHEMISTRY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"224
CHEM","","","","","","","","","","","","","","","","","","","","",""
"CHEM
224","Dept. Total","5713","2.966","24.5","14.6","26.8","8.3","15.3","3.9","1.8","4.3","",".",".","",".","0.5","0.0","0.0","0.1","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"224
CHEM","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","1950","2.974","23.0","14.5","29.9","9.7","18.1","3.4","1.2",".","",".",".","",".",".",".","0.1","0.1","."
"Sophomore","","1401","2.901","22.8","14.8","28.3","8.9","17.0","5.5","2.7",".","",".",".","",".",".",".",".","0.1","."
"Junior","","1049","2.904","25.1","14.9","28.0","8.3","17.1","4.2","2.2","0.3","",".",".","",".",".",".",".",".","."
"Senior","","660","2.922","27.4","16.2","25.3","9.2","14.4","4.7","2.6","0.2","",".",".","",".",".",".",".",".","."
"Undergraduates","","5060","2.936","24.0","14.9","28.5","9.1","17.1","4.3","2.0","0.1","",".",".","",".",".",".","0.0","0.1","."
"Special","","67","3.140","32.8","11.9","32.8","6.0","9.0","6.0",".","1.5","",".",".","",".",".",".",".",".","."
"Graduate","","765","3.598","43.4","9.4","8.8","0.9","0.3",".",".","33.1","",".",".","",".","3.8","0.3",".","0.1","."
"","Dept. Total","5892","2.966","26.6","14.1","26.0","8.0","14.8","3.8","1.7","4.4","",".",".","",".","0.5","0.0","0.0","0.1","."
