"SOCIOLOGY","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"900
SOC","","","","","","","","","","","","","","","","","","","",""
"Marriage and Family","120","001","417","3.137","27.3","23.3","18.5","14.6","11.5","2.6","0.5","1.0",".",".",".",".","0.2","0.2","0.2","."
"Criminal Justice in America","131","001","202","2.970","23.8","21.3","14.4","9.4","28.7","2.0",".",".",".",".",".",".",".","0.5",".","."
"","134","001","191","2.911","11.0","19.4","33.0","20.4","13.6","0.5","1.6","0.5",".",".",".",".",".",".",".","."
"","134","002","201","2.995","10.4","21.9","33.3","24.9","9.5",".",".",".",".",".",".",".",".",".",".","."
"","134","003","89","3.190","21.3","28.1","28.1","7.9","4.5","4.5",".","4.5",".",".",".",".",".",".",".","1.1"
"","134","004","97","3.122","21.6","19.6","27.8","18.6","8.2","1.0",".","2.1",".",".",".",".","1.0",".",".","."
"Am Racial&Ethnic Minorities","","Course Total","578","3.005","14.2","21.6","31.5","19.7","9.9","1.0","0.5","1.2",".",".",".",".","0.2",".",".","0.2"
"The Sociology of Gender","138","001","93","3.280","25.8","30.1","31.2","6.5","3.2","3.2",".",".",".",".",".",".",".",".",".","."
"Intro-Rural Sociol&Development","140","001","17","2.853",".","47.1","17.6","17.6","5.9","11.8",".",".",".",".",".",".",".",".",".","."
"Hum Sexuality-Soc,Psych Iss","160","001","266","2.928","15.0","16.9","30.8","21.4","12.0","2.3","1.1","0.4",".",".",".",".",".",".",".","."
"Population Problems","170","001","20","3.575","35.0","45.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Hnrs Smr:Sociolgl Enterprse","181","001","18","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","199","016","6","3.714","33.3","50.0",".",".",".",".",".",".",".",".",".",".","16.7",".",".","."
"","199","056","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","199","061","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","11","3.759","54.5","27.3","9.1",".",".",".",".",".",".",".",".",".","9.1",".",".","."
"Survey of Sociology","210","001","147","3.119","24.5","29.3","23.1","10.9","6.1","2.7","3.4",".",".",".",".",".",".",".",".","."
"Ethnic Movements in U.S.","220","001","40","3.438","25.0","55.0","15.0","2.5",".",".","2.5",".",".",".",".",".",".",".",".","."
"Contemp Chinese Society","225","001","29","3.204","13.8","31.0","31.0","13.8","3.4",".",".","6.9",".",".",".",".",".",".",".","."
"SE Asia:Vietnam to Philipns","244","001","10","3.350","10.0","50.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Technology and Society","245","001","8","2.750",".","12.5","37.5","37.5","12.5",".",".",".",".",".",".",".",".",".",".","."
"Organizations and Society","250","001","38","3.592","47.4","34.2","10.5","5.3","2.6",".",".",".",".",".",".",".",".",".",".","."
"Civs of India-Modern Period","252","001","35","2.985","8.6","28.6","28.6","14.3","11.4","2.9",".",".",".",".",".",".",".","5.7",".","."
"The Jews, States, & Citizenshp","258","001","15","3.500","33.3","33.3","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Africa: Introductory Survey","277","001","29","2.778","10.3","27.6","24.1","6.9","13.8","3.4","6.9","6.9",".",".",".",".",".",".",".","."
"Cap, Soc, Democ-Am 1890 on","327","001","24","3.229","29.2","16.7","29.2","20.8","4.2",".",".",".",".",".",".",".",".",".",".","."
"","357","001","21","3.643","47.6","33.3","19.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","357","002","34","3.374","26.5","38.2","23.5","8.8","2.9",".",".",".",".",".",".",".",".",".",".","."
"","357","003","35","3.344","20.0","54.3","14.3","2.9","5.7","2.9",".",".",".",".",".",".",".",".",".","."
"","357","004","28","3.446","42.9","25.0","17.9","7.1","7.1",".",".",".",".",".",".",".",".",".",".","."
"","357","005","28","3.232","42.9","21.4","21.4","3.6",".","3.6","7.1",".",".",".",".",".",".",".",".","."
"","357","006","37","3.149","29.7","24.3","10.8","16.2","18.9",".",".",".",".",".",".",".",".",".",".","."
"Meth-Sociological Inquiry","","Course Total","183","3.343","33.3","33.3","17.5","7.1","6.6","1.1","1.1",".",".",".",".",".",".",".",".","."
"","360","001","32","2.953","9.4","25.0","34.4","9.4","21.9",".",".",".",".",".",".",".",".",".",".","."
"","360","002","33","3.091","27.3","12.1","39.4","6.1","9.1","6.1",".",".",".",".",".",".",".",".",".","."
"","360","003","29","2.897","10.3","17.2","44.8","10.3","10.3","6.9",".",".",".",".",".",".",".",".",".","."
"Stats for Sociologists I","","Course Total","94","2.984","16.0","18.1","39.4","8.5","13.8","4.3",".",".",".",".",".",".",".",".",".","."
"Stats for Sociologists II","361","001","42","3.643","54.8","31.0","7.1","2.4","4.8",".",".",".",".",".",".",".",".",".",".","."
"Stats for Sociologists III","362","001","42","3.476","35.7","28.6","28.6","2.4","2.4",".",".",".",".",".",".",".","2.4",".",".","."
"Computing-Sociologcl Resrch","365","002","18","3.278","44.4","16.7","22.2","5.6","5.6",".","5.6",".",".",".",".",".",".",".",".","."
"Contemp Populatn Probs-Honors","380","001","11","3.500","36.4","36.4","18.2","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"Criminology","441","001","112","3.592","51.8","29.5","8.9","3.6","1.8",".","1.8","2.7",".",".",".",".",".",".",".","."
