"LATIN (CLASSICS)","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"524
LATIN","","","","","","","","","","","","","","","","","","","",""
"103
Elementary Latin","001","","130","3.331","50.8","17.7","10.0","5.4","10.0","4.6","1.5",".",".",".",".",".",".",".",".","."
"203","001","","24","3.271","41.7","20.8","12.5","8.3","12.5","4.2",".",".",".",".",".",".",".",".",".","."
"203","002","","23","3.587","43.5","30.4","26.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intermediate Latin","Course Total","","47","3.426","42.6","25.5","19.1","4.3","6.4","2.1",".",".",".",".",".",".",".",".",".","."
"301
Latin Lit of Roman Republic","001","","11","3.818","63.6","36.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"519
Latin Poetry","001","","21","3.643","61.9","19.0","9.5","4.8","4.8",".",".",".",".",".",".",".",".",".",".","."
"532
Tacitus","001","","12","3.500","41.7","16.7","8.3","16.7",".",".",".","8.3",".",".",".",".",".","8.3",".","."
"699
Directed Study","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"890","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Individual Research Thesis","Course Total","","5","***","","","","","","","","","","","","","","","",""
