"LANDSCAPE ARCHITECTURE","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"520
LAND ARC","","","","","","","","","","","","","","","","","","",""
"","201
001","22","3.136","22.7","31.8","22.7","13.6","4.5",".","4.5",".",".",".",".",".",".",".",".","."
"","002
201","24","3.304","8.3","50.0","29.2","8.3",".",".",".",".",".",".",".",".","4.2",".",".","."
"Intro Land Arc Studio","Course Total","46","3.222","15.2","41.3","26.1","10.9","2.2",".","2.2",".",".",".",".",".","2.2",".",".","."
"","250
001","18","2.469","5.6",".","33.3","16.7","27.8",".","5.6","11.1",".",".",".",".",".",".",".","."
"","002
250","19","2.781","15.8",".","31.6","15.8","15.8","5.3",".","15.8",".",".",".",".",".",".",".","."
"","003
250","19","3.059","26.3","21.1","10.5",".","31.6",".",".","10.5",".",".",".",".",".",".",".","."
"","250
004","14","2.682","7.1","7.1","21.4","14.3","28.6",".",".","14.3",".",".",".",".",".",".","7.1","."
"","250
005","20","2.421","5.0","20.0","5.0","10.0","50.0",".","5.0","5.0",".",".",".",".",".",".",".","."
"","250
006","18","2.806","11.1","16.7","33.3","11.1","22.2","5.6",".",".",".",".",".",".",".",".",".","."
"","250
007","21","2.263","4.8",".","14.3","9.5","57.1","4.8",".","9.5",".",".",".",".",".",".",".","."
"","250
008","22","2.595","13.6","13.6","9.1","18.2","31.8","9.1",".","4.5",".",".",".",".",".",".",".","."
"","250
009","20","2.676","5.0","15.0","20.0","10.0","35.0",".",".","15.0",".",".",".",".",".",".",".","."
"Survey of Land Arch Design","Course Total","171","2.630","10.5","10.5","19.3","11.7","33.9","2.9","1.2","9.4",".",".",".",".",".",".","0.6","."
"Prin Land Arc Dsgn&Graphics","261
001","23","3.478","34.8","30.4","30.4","4.3",".",".",".",".",".",".",".",".",".",".",".","."
"","263
001","7","3.214","42.9","14.3","28.6",".",".","14.3",".",".",".",".",".",".",".",".",".","."
"","263
002","12","3.042","25.0","33.3","16.7","8.3",".","16.7",".",".",".",".",".",".",".",".",".","."
"Landscape Plants I","Course Total","19","3.105","31.6","26.3","21.1","5.3",".","15.8",".",".",".",".",".",".",".",".",".","."
"Independent Studies","299
015","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Landscape Arch Tech II","354
001","23","3.065","13.0","39.1","26.1","8.7","4.3","8.7",".",".",".",".",".",".",".",".",".","."
"Planting Design I","365
001","24","3.104","8.3","33.3","33.3","20.8","4.2",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","375
001","21","3.690","57.1","23.8","19.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","399
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
015","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","Course Total","2","***","","","","","","","","","","","","","","","",""
"Professionl Pract-Land Arch","550
001","19","3.474","21.1","52.6","26.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar-Landscape Arch","610
001","19","3.554","36.8","36.8","26.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Restoration Ecology","666
001","14","3.350","21.4","14.3","28.6","7.1",".",".",".","28.6",".",".",".",".",".",".",".","."
"Adaptive Restoration Lab","670
002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Cult Rsrce Presrv&Lndsc Hst","677
001","17","3.706","64.7","11.8","23.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Applictn of GIS:Natrl Rsrcs","695
001","11","3.227","9.1","36.4","45.5","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"","699
005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
015","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems-Land Arch","Course Total","3","***","","","","","","","","","","","","","","","",""
"Theories-Landscape Change","710
001","8","3.750","75.0","12.5",".","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"Graduate Seminar","940
001","12","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990
005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
008","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
011","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
015","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
016","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","14","",".",".",".",".",".",".",".","92.9",".",".",".",".",".","7.1",".","."
"","999
008","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
011","3","***","","","","","","","","","",".",".",".",".",".",".","."
"April 02, 2013","","","","","","","","","","","","","","","","","","","Page 31 of 391"
