"MICROBIOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"192
MICROBIO","","","","","","","","","","","","","","","","","","","",""
"101
General Microbiology","001","","139","2.757","10.1","15.1","28.1","18.7","23.7","2.2","1.4",".",".",".",".",".",".",".",".","0.7"
"102","001","","31","3.452","29.0","41.9","19.4","9.7",".",".",".",".",".",".",".",".",".",".",".","."
"102","002","","32","3.688","56.3","31.3","6.3","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"General Microbiology Lab","Course Total","","63","3.571","42.9","36.5","12.7","7.9",".",".",".",".",".",".",".",".",".",".",".","."
"299","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","030","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","034","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","058","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","073","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","076","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","082","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","094","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"303
Procaryotic Microbiology","001","","166","2.735","13.9","13.3","23.5","15.7","29.5","3.0","1.2",".",".",".",".",".",".",".",".","."
"304","001","","25","3.460","28.0","44.0","24.0",".","4.0",".",".",".",".",".",".",".",".",".",".","."
"304","002","","32","3.484","31.3","40.6","25.0",".","3.1",".",".",".",".",".",".",".",".",".",".","."
"304","003","","34","3.324","20.6","41.2","32.4",".","2.9","2.9",".",".",".",".",".",".",".",".",".","."
"Procaryotic Microbiol Lab","Course Total","","91","3.418","26.4","41.8","27.5",".","3.3","1.1",".",".",".",".",".",".",".",".",".","."
"324
Food Bacteriology Lab","001","","13","2.885","15.4","15.4","23.1","23.1","23.1",".",".",".",".",".",".",".",".",".",".","."
"325
Food Bacteriology","001","","38","3.092","23.7","2.6","55.3","10.5","5.3","2.6",".",".",".",".",".",".",".",".",".","."
"370
Bacterial Genetics","001","","56","3.250","30.4","14.3","41.1","7.1","5.4","1.8",".",".",".",".",".",".",".",".",".","."
"526
Physiol of Microorganisms","001","","62","2.629","22.6","4.8","25.8","1.6","30.6","12.9","1.6",".",".",".",".",".",".",".",".","."
"527","001","","14","3.143","21.4","7.1","57.1","7.1","7.1",".",".",".",".",".",".",".",".",".",".","."
"527","002","","18","3.167","27.8","5.6","55.6","5.6",".","5.6",".",".",".",".",".",".",".",".",".","."
"527","003","","18","3.139","16.7","27.8","27.8","22.2","5.6",".",".",".",".",".",".",".",".",".",".","."
"Physiol-Microorganisms Lab","Course Total","","50","3.150","22.0","14.0","46.0","12.0","4.0","2.0",".",".",".",".",".",".",".",".",".","."
"528
Immunology","001","","59","2.983","33.9","5.1","23.7","15.3","15.3","5.1","1.7",".",".",".",".",".",".",".",".","."
"607
Advanced Microbial Genetics","001","","33","3.515","33.3","36.4","30.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"612
Prokaryotic Molecular Biol","001","","40","3.244","22.5","17.5","47.5","5.0","5.0",".",".",".",".",".",".",".","2.5",".",".","."
"640
Gen Virology-Multiplication","001","","33","3.106","18.2","15.2","39.4","24.2","3.0",".",".",".",".",".",".",".",".",".",".","."
"670
Trends in Food Safety","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","2","***","","","","","","","","","","","","","","","",""
"691","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"691","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"691","080","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","Course Total","","3","***","","","","","","","","","","","","","","","",""
"692
Senior Thesis","034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","012","","3","***","","","","","","","","","",".",".",".",".",".",".","."
