"","990
025","1","***","","","","","","","","","","",".",".",".",".","",".",".","."
"","990
029","1","***","","","","","","","","","","",".",".",".",".","",".",".","."
"","990
030","1","***","","","","","","","","","","",".",".",".",".","",".",".","."
"Research and Thesis","Course Total","9","",".",".",".",".",".",".","",".","77.8",".",".",".","11.1","",".",".","11.1","."
"M S & E
636","Dept. Total","484","3.379","37.4","20.7","21.7","5.6","3.7","1.2","",".","5.4","0.2","0.2",".","3.3","",".","0.2","0.4","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","","S","U","CR","N","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"636
M S & E","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","23","3.276","47.8","13.0","26.1","4.3","4.3","4.3","",".",".",".",".",".",".","",".",".",".","."
"Sophomore","","109","3.279","27.5","28.4","29.4","8.3","6.4",".","",".",".",".",".",".",".","",".",".",".","."
"Junior","","109","3.304","34.9","25.7","24.8","7.3","5.5","1.8","",".",".",".",".",".",".","",".",".",".","."
"Senior","","116","3.380","41.4","23.3","21.6","6.9","2.6","2.6","",".","0.9",".",".",".",".","",".","0.9",".","."
"Undergraduates","","357","3.320","35.6","24.9","25.2","7.3","4.8","1.7","",".","0.3",".",".",".",".","",".","0.3",".","."
"Special","","4","3.500","50.0",".","50.0",".",".",".","",".",".",".",".",".",".","",".",".",".","."
"Graduate","","123","3.663","42.3","8.9","10.6","0.8","0.8",".","",".","20.3","0.8","0.8",".","13.0","",".",".","1.6","."
"","Dept. Total","484","3.379","37.4","20.7","21.7","5.6","3.7","1.2","",".","5.4","0.2","0.2",".","3.3","",".","0.2","0.4","."
