"MATERIALS SCI AND ENGINEERI Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"636
M S & E","","","","","","","","","","","","","","","","","","","",""
"1
Cooperative Education Prog","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"250","001","","17","3.500","58.8","11.8","17.6","5.9",".","5.9",".",".",".",".",".",".",".",".",".","."
"250","002","","10","3.300","40.0","20.0","20.0",".","20.0",".",".",".",".",".",".",".",".",".",".","."
"Intro to Modern Materials","Course Total","","27","3.426","51.9","14.8","18.5","3.7","7.4","3.7",".",".",".",".",".",".",".",".",".","."
"271
Mat Sci&Engr Prob Solvng I","001","","23","3.739","56.5","34.8","8.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"332
Macroprocessing-Materials","001","","22","3.432","36.4","18.2","40.9","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"350
Intro to Materials Science","001","","153","3.245","24.2","23.5","36.6","9.8","5.2","0.7",".",".",".",".",".",".",".",".",".","."
"351
Struct&Property Rels-Solids","001","","27","2.846","11.1","22.2","25.9","14.8","14.8","7.4",".",".",".",".",".",".",".","3.7",".","."
"360","001","","6","3.333","16.7","33.3","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"360","002","","6","3.500","33.3","50.0",".","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"Materials Laboratory I","Course Total","","12","3.417","25.0","41.7","25.0","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"362
Materials Laboratory III","001","","21","3.524","33.3","42.9","19.0","4.8",".",".",".",".",".",".",".",".",".",".",".","."
"379
Materials Sys&Design Proj I","001","","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"390
Materials Sys&Desgn Proj II","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"401","001","","27","3.791","63.0","37.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"401","002","","7","3.667","42.9","28.6","14.3",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"Special Topics in Mat Sci&Engr","Course Total","","34","3.765","58.8","35.3","2.9",".",".",".",".","2.9",".",".",".",".",".",".",".","."
"434
Intro Thin-Film Deposition","001","","11","3.500","36.4","27.3","36.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"448
Crystallog & Xray Diffractn","001","","13","3.769","61.5","30.8","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"451
Intro to Ceramic Materials","001","","13","2.654","15.4","15.4","15.4","23.1","15.4","15.4",".",".",".",".",".",".",".",".",".","."
"463
Matrls-Elevated Temp Serv","001","","7","3.429","42.9","14.3","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"474
Rock Mechanics","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"530
Thermodynamics of Solids","001","","15","3.233","20.0","20.0","53.3",".","6.7",".",".",".",".",".",".",".",".",".",".","."
"562
Applied Superconductivity","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","018","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","4","***","","","","","","","","","","","","","","","",""
"702
Grad Cooperative Educ Program","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"750
Imperfectns&Mech Properties","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"790","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","018","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"790","020","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"790","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","033","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Master's Research or Thesis","Course Total","","16","",".",".",".",".",".",".",".","43.8",".",".",".","50.0",".",".","6.3","."
"803","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"803","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"803","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"803","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"803","009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"April 02, 2013","","","","","","","","","","","","","","","","","","","Page 134 of 391",""
