"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","",""
"HDFS","","","","","","","","","","","","","","","","","","",""
"Freshmen","1","",".",".",".",".",".",".",".",".",".",".","",".",".","100.0",".",".","."
"Sophomore","151","3.193","27.2","25.2","23.8","14.6","5.3","2.0","1.3",".",".",".","",".",".",".",".",".","0.7"
"Junior","416","3.194","27.6","22.1","28.4","13.2","4.6","1.7","1.4","0.5",".",".","",".",".",".","0.5",".","."
"Senior","454","3.298","35.2","22.2","19.8","11.2","6.8","1.8",".","2.2","0.4",".","",".",".","0.2",".",".","."
"Undergraduates","1022","3.239","30.9","22.6","23.9","12.5","5.7","1.8","0.8","1.2","0.2",".","",".",".","0.2","0.2",".","0.1"
"Special","13","3.649","46.2","38.5","15.4",".",".",".",".",".",".",".","",".",".",".",".",".","."
"Graduate","125","3.876","55.2","13.6","0.8","0.8",".",".",".","23.2",".",".","",".","6.4",".",".",".","."
"Prof Yr 2","4","",".",".",".",".",".",".",".","100.0",".",".","",".",".",".",".",".","."
"Prof Yr 3","3","3.500","33.3","33.3","33.3",".",".",".",".",".",".",".","",".",".",".",".",".","."
"Professionals","7","3.500","14.3","14.3","14.3",".",".",".",".","57.1",".",".","",".",".",".",".",".","."
