"L&S","","","","","","","","","","","","","","","","","","","","",""
"SOCIOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"900
SOC","","","","","","","","","","","","","","","","","","","","",""
"SOC
900","Dept. Total","3586","3.205","28.8","22.8","19.8","10.3","8.1","1.6","0.8","5.1","",".","1.5","",".","0.4","0.5","0.1","0.1","0.0"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"900
SOC","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","460","2.899","13.5","19.3","28.3","20.2","15.9","1.5","1.1",".","",".",".","",".",".",".","0.2",".","."
"Sophomore","","743","3.106","23.8","23.0","22.5","16.3","12.1","1.9",".",".","",".",".","",".",".","0.3","0.1",".","."
"Junior","","880","3.213","29.3","26.5","22.5","8.6","7.6","2.3","1.1","0.6","",".","1.0","",".",".",".","0.2","0.1","0.1"
"Senior","","925","3.274","32.4","27.4","20.0","8.2","6.4","1.7","1.4","1.7","",".","0.6","",".",".","0.1",".",".","."
"Undergraduates","","3008","3.150","26.5","24.8","22.6","12.2","9.6","1.9","0.9","0.7","",".","0.5","",".",".","0.1","0.1","0.0","0.0"
"Special","","20","3.406","30.0","25.0","30.0","5.0",".",".",".","5.0","",".",".","",".",".",".",".","5.0","."
"Graduate","","555","3.786","41.4","11.7","4.3","0.4","0.5",".",".","29.2","",".","7.0","",".","2.5","2.5",".","0.4","."
"Prof Yr 1","","1","3.500",".","100.0",".",".",".",".",".",".","",".",".","",".",".",".",".",".","."
"Prof Yr 3","","2","3.500",".","100.0",".",".",".",".",".",".","",".",".","",".",".",".",".",".","."
"Professionals","","3","3.500",".","100.0",".",".",".",".",".",".","",".",".","",".",".",".",".",".","."
"","Dept. Total","3586","3.205","28.8","22.8","19.8","10.3","8.1","1.6","0.8","5.1","",".","1.5","",".","0.4","0.5","0.1","0.1","0.0"
