"PHILOSOPHY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"736
PHILOS","","","","","","","","","","","","","","","","","","",""
"","101
001","85","2.878","11.8","16.5","30.6","21.2","11.8","4.7",".",".",".",".",".",".",".","2.4","1.2","."
"","002
101","65","3.557","36.9","41.5","12.3","1.5",".",".","1.5","4.6",".",".",".",".","1.5",".",".","."
"","003
101","89","3.285","24.7","34.8","20.2","9.0","5.6","2.2",".","1.1",".",".",".",".",".",".","2.2","."
"","101
004","73","3.333","20.5","43.8","23.3","8.2","1.4",".","1.4",".",".",".",".",".",".","1.4",".","."
"","005
101","83","3.138","25.3","26.5","16.9","12.0","12.0","3.6",".","3.6",".",".",".",".",".",".",".","."
"","101
006","70","3.043","21.4","31.4","18.6","14.3","5.7","5.7","2.9",".",".",".",".",".",".",".",".","."
"","101
007","61","3.115","14.8","24.6","44.3","8.2","6.6",".","1.6",".",".",".",".",".",".",".",".","."
"Introduction to Philosophy","Course Total","526","3.183","22.1","31.0","23.4","11.0","6.5","2.5","1.0","1.3",".",".",".",".","0.2","0.6","0.6","."
"Spec Topics:Philos-Freshmen","104
001","16","3.433","37.5","6.3","50.0",".",".",".",".",".",".",".",".",".",".",".","6.3","."
"Intro to Philos for Jr & Sr","201
001","48","3.102","10.4","22.9","35.4","20.8","2.1",".",".","8.3",".",".",".",".",".",".",".","."
"","210
001","101","2.748","16.8","18.8","23.8","7.9","22.8","5.0","5.0",".",".",".",".",".",".",".",".","."
"","210
002","23","3.478","43.5","26.1","17.4","8.7","4.3",".",".",".",".",".",".",".",".",".",".","."
"Reason in Communication","Course Total","124","2.883","21.8","20.2","22.6","8.1","19.4","4.0","4.0",".",".",".",".",".",".",".",".","."
"","211
001","78","3.383","48.7","21.8","10.3","7.7","5.1","2.6","2.6","1.3",".",".",".",".",".",".",".","."
"","002
211","75","3.020","17.3","32.0","24.0","12.0","8.0","2.7","4.0",".",".",".",".",".",".",".",".","."
"Elementary Logic","Course Total","153","3.204","33.3","26.8","17.0","9.8","6.5","2.6","3.3","0.7",".",".",".",".",".",".",".","."
"","241
001","76","2.757","11.8","11.8","26.3","23.7","22.4","3.9",".",".",".",".",".",".",".",".",".","."
"","241
002","73","3.648","52.1","30.1","13.7",".",".",".","1.4","1.4",".",".",".",".",".",".","1.4","."
"Introductory Ethics","Course Total","149","3.187","31.5","20.8","20.1","12.1","11.4","2.0","0.7","0.7",".",".",".",".",".",".","0.7","."
"Ethics in Business","243
001","71","3.429","21.1","49.3","22.5","4.2","1.4",".",".","1.4",".",".",".",".",".",".",".","."
"Philosophy of the Arts","253
001","20","3.750","65.0","25.0","5.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Philos of Religion","261
001","47","2.867","12.8","10.6","40.4","14.9","10.6","6.4",".","4.3",".",".",".",".",".",".",".","."
"","341
001","78","3.173","7.7","37.2","43.6","10.3",".",".","1.3",".",".",".",".",".",".",".",".","."
"","341
002","19","3.316","15.8","57.9","10.5","5.3","10.5",".",".",".",".",".",".",".",".",".",".","."
"","341
092","19","3.658","47.4","36.8","15.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","341
093","24","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","341
094","16","3.469","25.0","43.8","31.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","341
095","18","3.611","50.0","33.3","11.1",".","5.6",".",".",".",".",".",".",".",".",".",".","."
"","341
096","16","3.767","50.0","43.8",".",".",".",".",".",".",".",".",".",".","6.3",".",".","."
"Contemporary Moral Issues","Course Total","190","3.447","31.6","36.8","24.2","4.7","1.6",".","0.5",".",".",".",".",".","0.5",".",".","."
"Hist of Ancient Philosophy","430
001","48","3.615","41.7","39.6","18.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"History-Modern Philosophy","432
001","64","3.325","42.2","15.6","15.6","14.1","3.1",".","3.1","3.1",".",".",".",".",".","3.1",".","."
"French Philos-Existentialsm","440
001","71","2.949","22.5","15.5","23.9","19.7","8.5","4.2","2.8","2.8",".",".",".",".",".",".",".","."
"Environmental Ethics","441
001","34","2.924","8.8","35.3","38.2","2.9",".","2.9","8.8","2.9",".",".",".",".",".",".",".","."
"","454
001","11","3.364","18.2","45.5","27.3","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"","454
002","10","3.000","30.0","30.0","10.0","10.0","10.0",".","10.0",".",".",".",".",".",".",".",".","."
"Classical Philosophers","Course Total","21","3.190","23.8","38.1","19.0","9.5","4.8",".","4.8",".",".",".",".",".",".",".",".","."
"Classical Philosophers","464
001","17","2.941","17.6","47.1","11.8",".","5.9","11.8","5.9",".",".",".",".",".",".",".",".","."
"Junior Honors Seminar","481
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Junior Honors Seminar","482
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Philosophy of Religion","501
001","49","2.989","24.5","14.3","26.5","8.2","14.3","4.1","2.0","6.1",".",".",".",".",".",".",".","."
"Theory of Knowledge","503
001","20","3.306","25.0","30.0","15.0","15.0","5.0",".",".",".",".",".",".",".",".","5.0",".","5.0"
"Symbolic Logic","511
001","45","3.256","44.4","24.4","8.9","2.2","4.4","6.7","4.4",".",".",".",".",".","4.4",".",".","."
"April 02, 2013","","","","","","","","","","","","","","","","","","Page 266 of 391",""
