"MUSIC","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"660
MUSIC","","","","","","","","","","","","","","","","","","","",""
"The Musical Experience","101
001","","151","3.334","18.5","38.4","31.1","9.9",".",".",".","1.3",".",".",".",".",".",".","0.7","."
"Intro-Mus Cult of the World","103
001","","45","3.167","20.0","24.4","31.1","11.1","4.4",".","2.2","2.2",".",".",".",".",".",".","4.4","."
"Opera","105
001","","78","3.527","59.0","11.5","12.8","2.6","3.8","1.3","2.6","6.4",".",".",".",".",".",".",".","."
"Intro to Music Technology","110
001","","9","3.889","77.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","111
001","","19","3.500","47.4","15.8","21.1","5.3","5.3",".",".",".",".",".",".",".",".",".","5.3","."
"","111
002","","23","3.200","13.0","17.4","52.2",".","4.3",".",".","13.0",".",".",".",".",".",".",".","."
"Elements of Music","Course Total","","42","3.342","28.6","16.7","38.1","2.4","4.8",".",".","7.1",".",".",".",".",".",".","2.4","."
"Music in Performance","113
001","","487","3.954","87.5","2.1","0.8","0.2","0.6",".","0.2","8.4",".",".",".",".",".",".","0.2","."
"","121
001","","22","3.273","22.7","27.3","31.8","18.2",".",".",".",".",".",".",".",".",".",".",".","."
"","002
121","","29","3.224","17.2","27.6","41.4","10.3","3.4",".",".",".",".",".",".",".",".",".",".","."
"Musica Practica 1","Course Total","","51","3.245","19.6","27.5","37.3","13.7","2.0",".",".",".",".",".",".",".",".",".",".","."
"Basic Concepts-Music Theory","151
001","","37","3.446","59.5","16.2","5.4","2.7","13.5",".","2.7",".",".",".",".",".",".",".",".","."
"","171
101","","12","3.000","16.7","33.3","16.7","16.7","8.3","8.3",".",".",".",".",".",".",".",".",".","."
"","171
102","","10","3.550","40.0","30.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","103
171","","11","3.318","18.2","45.5","27.3",".","9.1",".",".",".",".",".",".",".",".",".",".","."
"","171
104","","9","3.278","11.1","33.3","55.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","171
105","","9","3.333",".","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Musica Pract:Aural Skills 1","Course Total","","51","3.284","17.6","41.2","31.4","3.9","3.9","2.0",".",".",".",".",".",".",".",".",".","."
"The Big Bands","205
001","","306","3.434","36.6","29.1","17.3","9.2","4.6",".",".","2.6",".",".",".",".","0.3",".","0.3","."
"Survey-Hist Western Music","211
001","","54","3.192","31.5","16.7","22.2","9.3","16.7",".",".","3.7",".",".",".",".",".",".",".","."
"","221
001","","27","3.278","14.8","37.0","37.0","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"","221
002","","29","3.586","41.4","34.5","24.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Musica Practica 3","Course Total","","56","3.438","28.6","35.7","30.4","5.4",".",".",".",".",".",".",".",".",".",".",".","."
"","253
001","","10","3.700","60.0","20.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","253
002","","12","3.864","66.7","25.0",".",".",".",".",".",".",".",".",".",".",".",".","8.3","."
"Conducting","Course Total","","22","3.786","63.6","22.7","9.1",".",".",".",".",".",".",".",".",".",".",".","4.5","."
"University Opera","256
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Opera Workshop","257
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","262
001","","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","262
002","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Jazz Ensemble","Course Total","","24","3.979","95.8","4.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","264
001","","27","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","264
002","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ensemble: Wisconsin Singers","Course Total","","36","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","265
001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","265
005","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ensemble-Woodwind","Course Total","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Black Music Ensemble","266
001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","267
001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","267
002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","267
003","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","267
004","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","267
005","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"April 02, 2013","","","","","","","","","","","","","","","","","","","Page 255 of 391",""
