"L&S","","","","","","","","","","","","","","","","","","",""
"MATHEMATICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"600
MATH","","","","","","","","","","","","","","","","","","",""
"","113
026","17","3.147","23.5","35.3","23.5","5.9","5.9",".","5.9",".",".",".",".",".",".",".",".","."
"","113
027","15","2.333","6.7","26.7","13.3","13.3","6.7","26.7","6.7",".",".",".",".",".",".",".",".","."
"Trigonometry","Course Total","407","2.804","23.3","17.2","18.7","11.5","15.5","9.6","3.7",".",".",".",".",".",".","0.2",".","0.2"
"","114
001","89","2.792","19.1","16.9","23.6","13.5","18.0","3.4","5.6",".",".",".",".",".",".",".",".","."
"","114
002","170","2.672","13.5","15.3","22.4","17.1","20.6","7.1","3.5","0.6",".",".",".",".",".",".",".","."
"Algebra and Trigonometry","Course Total","259","2.713","15.4","15.8","22.8","15.8","19.7","5.8","4.2","0.4",".",".",".",".",".",".",".","."
"","130
001","25","3.200","16.0","32.0","36.0","8.0","8.0",".",".",".",".",".",".",".",".",".",".","."
"","130
002","25","2.920","44.0","4.0","8.0","12.0","16.0","16.0",".",".",".",".",".",".",".",".",".","."
"","003
130","30","3.067","23.3","30.0","10.0","16.7","16.7","3.3",".",".",".",".",".",".",".",".",".","."
"","130
004","23","2.826","17.4","8.7","30.4","8.7","34.8",".",".",".",".",".",".",".",".",".",".","."
"Arithmetical Problm Solving","Course Total","103","3.010","25.2","19.4","20.4","11.7","18.4","4.9",".",".",".",".",".",".",".",".",".","."
"","131
001","25","3.520","48.0","16.0","28.0","8.0",".",".",".",".",".",".",".",".",".",".",".","."
"","131
002","35","3.286","45.7","11.4","22.9","5.7","8.6","5.7",".",".",".",".",".",".",".",".",".","."
"","003
131","11","2.409","27.3",".","18.2","9.1","27.3",".","18.2",".",".",".",".",".",".",".",".","."
"","131
004","17","3.765","70.6","11.8","17.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Geom Inference & Reasoning","Course Total","88","3.335","48.9","11.4","22.7","5.7","6.8","2.3","2.3",".",".",".",".",".",".",".",".","."
"","001
132","35","3.300","34.3","14.3","37.1","5.7","8.6",".",".",".",".",".",".",".",".",".",".","."
"","132
002","35","3.643","68.6","2.9","22.9",".","5.7",".",".",".",".",".",".",".",".",".",".","."
"","132
003","37","3.243","32.4","18.9","27.0","8.1","13.5",".",".",".",".",".",".",".",".",".",".","."
"Mathematical Models","Course Total","107","3.393","44.9","12.1","29.0","4.7","9.3",".",".",".",".",".",".",".",".",".",".","."
"","171
001","130","2.915","21.5","20.0","18.5","18.5","13.8","6.2","1.5",".",".",".",".",".",".",".",".","."
"","002
171","150","2.533","14.0","8.0","25.3","18.7","18.7","9.3","6.0",".",".",".",".",".",".",".",".","."
"Calc with Algebra & Trig I","Course Total","280","2.711","17.5","13.6","22.1","18.6","16.4","7.9","3.9",".",".",".",".",".",".",".",".","."
"","210
001","160","3.234","40.6","19.4","24.4","1.3","7.5","1.9","5.0",".",".",".",".",".",".",".",".","."
"","210
002","85","2.865","24.7","15.3","24.7","11.8","11.8","7.1","4.7",".",".",".",".",".",".",".",".","."
"","003
210","72","2.833","33.3","8.3","20.8","2.8","22.2","6.9","5.6",".",".",".",".",".",".",".",".","."
"","210
004","232","3.159","38.8","18.1","19.4","7.8","6.0","7.8","2.2",".",".",".",".",".",".",".",".","."
"Topics-Finite Mathematics","Course Total","549","3.093","36.4","16.8","21.9","5.8","9.5","5.8","3.8",".",".",".",".",".",".",".",".","."
"","211
001","133","2.591","13.5","12.8","21.1","21.8","15.0","10.5","4.5","0.8",".",".",".",".",".",".",".","."
"","002
211","162","3.093","25.9","16.7","29.6","13.0","9.9","4.3",".","0.6",".",".",".",".",".",".",".","."
"Calculus","Course Total","295","2.867","20.3","14.9","25.8","16.9","12.2","7.1","2.0","0.7",".",".",".",".",".",".",".","."
"Calc/Intro-Differntl Equats","213
001","90","2.720","23.3","6.7","21.1","14.4","14.4","8.9","4.4","6.7",".",".",".",".",".",".",".","."
"","221
001","228","2.633","16.2","12.3","21.9","14.5","18.9","12.3","2.6","0.4",".",".",".",".",".","0.9",".","."
"","002
221","226","2.653","22.1","7.1","19.5","11.9","29.2","5.3","4.9",".",".",".",".",".",".",".",".","."
"","003
221","184","2.644","20.7","2.2","27.2","7.1","35.9","3.3","3.8",".",".",".",".",".",".",".",".","."
"","221
004","20","2.650","10.0","10.0","40.0","20.0","5.0","10.0","5.0",".",".",".",".",".",".",".",".","."
"","221
005","173","2.643","22.0","5.2","26.6","6.4","25.4","8.7","4.6",".",".",".",".",".",".","1.2",".","."
"","221
006","154","2.977","34.4","15.6","16.9","7.1","16.2","4.5","5.2",".",".",".",".",".",".",".",".","."
"","007
221","230","2.587","11.3","13.5","24.8","13.0","25.7","7.0","4.3",".",".",".",".",".",".","0.4",".","."
"Calculus&Analytic Geometry","Course Total","1215","2.675","20.1","9.4","23.1","10.6","25.0","7.1","4.2","0.1",".",".",".",".",".","0.4",".","."
"","222
001","118","2.254","13.6","9.3","17.8","9.3","23.7","14.4","11.9",".",".",".",".",".",".",".",".","."
"","222
002","144","2.215","9.7","12.5","20.1","15.3","15.3","9.7","17.4",".",".",".",".",".",".",".",".","."
"","222
003","263","2.422","8.4","11.0","19.8","14.4","33.5","6.8","5.7","0.4",".",".",".",".",".",".",".","."
"","222
004","114","2.588","17.5","12.3","17.5","15.8","23.7","6.1","7.0",".",".",".",".",".",".",".",".","."
