"COMMUNICATION ARTS","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"250
COM ARTS","","","","","","","","","","","","","","","","","","","",""
"472
Rhetoric and Technology","001","","23","3.000","4.3","34.8","34.8","8.7","17.4",".",".",".",".",".",".",".",".",".",".","."
"556
Am Film Inds-Studio Sys Era","001","","48","3.177","8.3","35.4","43.8","8.3","4.2",".",".",".",".",".",".",".",".",".",".","."
"558
Public, Community&Alt Media","001","","17","3.281","23.5","23.5","35.3","5.9","5.9",".",".",".",".",".",".",".",".",".","5.9","."
"568
Interpersonal Influence","001","","33","3.750","72.7","6.1","15.2",".","3.0",".",".",".",".",".",".",".",".","3.0",".","."
"570
Classical Rhetorical Theory","002","","10","3.650","50.0","30.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"576
Prin-Rhetorical Criticism","001","","9","3.778","66.7","22.2","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"612
Topics-Communicatn Science","002","","15","3.700","53.3","33.3","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"613","001","","20","2.800","15.0","25.0","20.0","15.0","10.0","15.0",".",".",".",".",".",".",".",".",".","."
"613","002","","25","3.840","76.0","20.0",".","4.0",".",".",".",".",".",".",".",".",".",".",".","."
"613","003","","17","3.147","5.9","41.2","41.2",".","11.8",".",".",".",".",".",".",".",".",".",".","."
"613","004","","19","3.605","57.9","26.3","5.3",".","10.5",".",".",".",".",".",".",".",".",".",".","."
"613","005","","6","3.333","33.3","16.7","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"613","007","","14","3.857","78.6","14.3","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"613","008","","12","3.636","41.7","33.3","16.7",".",".",".",".","8.3",".",".",".",".",".",".",".","."
"Topics; Broadcasting & Film","Course Total","","113","3.464","46.0","25.7","15.0","4.4","5.3","2.7",".","0.9",".",".",".",".",".",".",".","."
"614","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"614","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"614","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"614","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"614","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"614","013","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"614","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"614","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"614","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"614","034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Field Exper in Communicatn","Course Total","","11","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"615","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"615","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"615","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Secnd Fld Exp-Communication","Course Total","","3","***","","","","","","","","","","","","","","","",""
"651
Adv Video Productn&Directn","001","","24","3.271","20.8","41.7","25.0","4.2","4.2","4.2",".",".",".",".",".",".",".",".",".","."
"658
Writing for TV & Film","001","","14","3.393","14.3","57.1","21.4","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"670
Rhetoric and Political Theory","001","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"681
Senior Honors Thesis","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","013","","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","026","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"April 02, 2013","","","","","","","","","","","","","","","","","","","Page 178 of 391",""
