"BUS","","","","","","","","","","","","","","","","","","","","","",""
"FINANCE, INVESTMENT & BANKI Section","#","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","","P","","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"233
FINANCE","","","","","","","","","","","","","","","","","","","","","",""
"FINANCE
Dept. Total
233","1022","3.295","29.3","24.9","28.6","10.3","5.4","0.8","",".","0.6","",".",".","",".","",".","0.1","0.2",".","."
"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","","P","","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"233
FINANCE","","","","","","","","","","","","","","","","","","","","","",""
"Junior","238","3.216","24.4","18.9","37.8","14.3","4.2","0.4","",".",".","",".",".","",".","",".",".",".",".","."
"Senior","399","3.113","21.1","22.1","30.3","14.5","10.3","1.5","",".","0.3","",".",".","",".","",".",".",".",".","."
"Undergraduates","637","3.152","22.3","20.9","33.1","14.4","8.0","1.1","",".","0.2","",".",".","",".","",".",".",".",".","."
"Special","66","3.287","27.3","24.2","25.8","7.6","6.1","1.5","",".","4.5","",".",".","",".","",".","1.5","1.5",".","."
"Graduate","310","3.598","44.2","33.2","19.4","2.3",".",".","",".","0.6","",".",".","",".","",".",".","0.3",".","."
"Prof Yr 3","9","3.278","22.2","22.2","44.4","11.1",".",".","",".",".","",".",".","",".","",".",".",".",".","."
"Professionals","9","3.278","22.2","22.2","44.4","11.1",".",".","",".",".","",".",".","",".","",".",".",".",".","."
"Dept. Total","1022","3.295","29.3","24.9","28.6","10.3","5.4","0.8","",".","0.6","",".",".","",".","",".","0.1","0.2",".","."
