"ENGR MECHANICS & ASTRONA","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"346
E M A","","","","","","","","","","","","","","","","","","","",""
"1
Cooperative Education Prog","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"201
Statics","001","","190","2.863","21.1","4.7","43.2","7.9","15.3","5.8","2.1",".",".",".",".",".",".",".",".","."
"202","001","","128","2.583","10.2","8.6","21.9","27.3","22.7","6.3","2.3",".",".",".",".",".","0.8",".",".","."
"202","003","","35","2.900","20.0","11.4","31.4","20.0","11.4","2.9","2.9",".",".",".",".",".",".",".",".","."
"Dynamics","Course Total","","163","2.651","12.3","9.2","23.9","25.8","20.2","5.5","2.5",".",".",".",".",".","0.6",".",".","."
"303
Mechanics of Materials","001","","102","2.824","8.8","15.7","37.3","17.6","16.7","2.9","1.0",".",".",".",".",".",".",".",".","."
"307","001","","6","2.833","16.7",".","50.0",".","33.3",".",".",".",".",".",".",".",".",".",".","."
"307","002","","8","3.688","62.5","12.5","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"307","004","","6","3.167",".","50.0","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"307","005","","7","3.357","14.3","42.9","42.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"307","006","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"307","008","","6","3.333","33.3",".","66.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Mechanics of Materials Lab","Course Total","","38","3.276","23.7","21.1","47.4","2.6","5.3",".",".",".",".",".",".",".",".",".",".","."
"405
Practicum-Finite Elements","001","","28","2.852","3.6","17.9","32.1","32.1","10.7",".",".",".",".",".",".",".",".","3.6",".","."
"469
Design Probs in Engineering","001","","21","3.429","71.4",".","14.3",".",".","14.3",".",".",".",".",".",".",".",".",".","."
"489
Honors in Research","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"506
Adv Mech of Materials I","001","","39","2.949","15.4","15.4","41.0","10.3","12.8","5.1",".",".",".",".",".",".",".",".",".","."
"521
Aerodynamics","001","","25","2.740","8.0","20.0","24.0","24.0","16.0","8.0",".",".",".",".",".",".",".",".",".","."
"542
Advanced Dynamics","001","","26","2.750","19.2","11.5","19.2","23.1","15.4","11.5",".",".",".",".",".",".",".",".",".","."
"547
Engineering Analysis I","001","","8","3.250","50.0",".","12.5","25.0","12.5",".",".",".",".",".",".",".",".",".",".","."
"570
Experimental Mechanics","001","","13","3.615","38.5","46.2","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"601
Special Topics: Engr Mech","001","","16","3.906","87.5","6.3","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"605
Intro to Finite Elements","001","","7","3.286",".","57.1","42.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"622
Mechanics of Continua","001","","8","3.375","25.0","37.5","25.0","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"708
Advanced Composite Material","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"742
Thry & Applicatns-Adv Dynamics","001","","10","3.450","50.0","20.0",".","30.0",".",".",".",".",".",".",".",".",".",".",".","."
"790","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","014","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"790","045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Master's Research or Thesis","Course Total","","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"890","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","011","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"890","040","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Pre-Dissertator Research","Course Total","","9","",".",".",".",".",".",".",".","88.9",".",".",".","11.1",".",".",".","."
"925
Rheology Research Seminar","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"April 02, 2013","","","","","","","","","","","","","","","","","","","Page 121 of 391",""
