"ACCOUNTING AND INFO SYSTE","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"232
ACCT I S","","","","","","","","","","","","","","","","","","",""
"","100
001","31","2.726","9.7","3.2","54.8",".","25.8","6.5",".",".",".",".",".",".",".",".",".","."
"","002
100","45","2.889","13.3","13.3","46.7","4.4","17.8","2.2","2.2",".",".",".",".",".",".",".",".","."
"","100
003","40","2.775","22.5","5.0","32.5",".","32.5","7.5",".",".",".",".",".",".",".",".",".","."
"","005
100","42","3.143","26.2","7.1","54.8","2.4","7.1",".","2.4",".",".",".",".",".",".",".",".","."
"","100
007","44","3.284","38.6","6.8","40.9",".","13.6",".",".",".",".",".",".",".",".",".",".","."
"","100
008","20","3.275","30.0","5.0","60.0",".","5.0",".",".",".",".",".",".",".",".",".",".","."
"","009
100","45","3.034","26.7","8.9","40.0","2.2","15.6","2.2","2.2","2.2",".",".",".",".",".",".",".","."
"","100
010","20","3.175","40.0","5.0","35.0",".","15.0","5.0",".",".",".",".",".",".",".",".",".","."
"","100
011","38","2.539","18.4","5.3","31.6","2.6","26.3","7.9","7.9",".",".",".",".",".",".",".",".","."
"","100
012","42","3.131","28.6","9.5","45.2","2.4","9.5","4.8",".",".",".",".",".",".",".",".",".","."
"","100
013","43","2.512","7.0","7.0","44.2","2.3","23.3","14.0","2.3",".",".",".",".",".",".",".",".","."
"","100
014","27","2.240","7.4","3.7","37.0","3.7","18.5","7.4","14.8","3.7",".",".",".",".",".","3.7",".","."
"","015
100","39","2.705","25.6","5.1","30.8","2.6","20.5","10.3","5.1",".",".",".",".",".",".",".",".","."
"Intro Financial Accounting","Course Total","476","2.879","22.3","6.9","42.2","1.9","18.1","5.3","2.7","0.4",".",".",".",".",".","0.2",".","."
"","211
001","27","3.278","40.7","3.7","48.1",".",".","7.4",".",".",".",".",".",".",".",".",".","."
"","211
005","40","2.975","30.0","5.0","45.0",".","7.5","10.0","2.5",".",".",".",".",".",".",".",".","."
"","006
211","24","3.188","45.8","8.3","25.0","4.2","8.3","4.2","4.2",".",".",".",".",".",".",".",".","."
"","211
007","23","3.043","26.1","17.4","34.8",".","17.4",".","4.3",".",".",".",".",".",".",".",".","."
"","211
008","41","3.122","31.7","4.9","46.3",".","12.2","4.9",".",".",".",".",".",".",".",".",".","."
"","211
009","42","3.202","31.0","19.0","35.7","2.4","7.1","2.4","2.4",".",".",".",".",".",".",".",".","."
"","211
010","36","3.097","25.0","25.0","36.1",".","5.6","2.8","5.6",".",".",".",".",".",".",".",".","."
"","211
011","36","3.111","36.1","16.7","19.4","11.1","5.6","11.1",".",".",".",".",".",".",".",".",".","."
"Intro Managerial Accounting","Course Total","269","3.123","32.7","12.6","36.8","2.2","7.8","5.6","2.2",".",".",".",".",".",".",".",".","."
"","300
002","39","3.103","17.9","23.1","25.6","28.2","5.1",".",".",".",".",".",".",".",".",".",".","."
"","300
003","40","3.167","30.0","20.0","25.0","12.5","2.5","7.5",".","2.5",".",".",".",".",".",".",".","."
"","300
004","41","2.951","22.0","7.3","36.6","17.1","12.2","4.9",".",".",".",".",".",".",".",".",".","."
"","300
005","41","3.195","19.5","22.0","41.5","12.2","4.9",".",".",".",".",".",".",".",".",".",".","."
"Accounting Principles","Course Total","161","3.103","22.4","18.0","32.3","17.4","6.2","3.1",".","0.6",".",".",".",".",".",".",".","."
"","301
001","44","3.198","25.0","34.1","20.5","4.5","6.8","6.8",".","2.3",".",".",".",".",".",".",".","."
"","301
004","42","3.274","19.0","33.3","38.1","2.4","7.1",".",".",".",".",".",".",".",".",".",".","."
"","301
006","40","3.075","15.0","32.5","25.0","12.5","12.5","2.5",".",".",".",".",".",".",".",".",".","."
"","301
007","42","3.232","16.7","28.6","35.7","16.7",".",".",".","2.4",".",".",".",".",".",".",".","."
"Financial Reporting I","Course Total","168","3.196","19.0","32.1","29.8","8.9","6.5","2.4",".","1.2",".",".",".",".",".",".",".","."
"","001
302","33","3.203","33.3","18.2","27.3","9.1","3.0","3.0","3.0","3.0",".",".",".",".",".",".",".","."
"","302
002","41","3.317","31.7","12.2","48.8","2.4","4.9",".",".",".",".",".",".",".",".",".",".","."
"Financial Reporting II","Course Total","74","3.267","32.4","14.9","39.2","5.4","4.1","1.4","1.4","1.4",".",".",".",".",".",".",".","."
"","310
001","38","3.171","15.8","23.7","47.4","5.3","7.9",".",".",".",".",".",".",".",".",".",".","."
"","310
002","39","3.128","15.4","15.4","53.8","10.3","5.1",".",".",".",".",".",".",".",".",".",".","."
"Cost Management Systems","Course Total","77","3.149","15.6","19.5","50.6","7.8","6.5",".",".",".",".",".",".",".",".",".",".","."
"Engineerng Economc Analysis","313
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Accounting Systems","340
001","47","3.309","17.0","36.2","38.3","8.5",".",".",".",".",".",".",".",".",".",".",".","."
"","406
001","10","3.400","60.0",".","30.0",".",".","10.0",".",".",".",".",".",".",".",".",".","."
"","406
002","22","3.636","63.6",".","36.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Financial Reporting","Course Total","32","3.563","62.5",".","34.4",".",".","3.1",".",".",".",".",".",".",".",".",".","."
