"ANIMAL SCIENCES","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"604
AN SCI","","","","","","","","","","","","","","","","","","","",""
"101
Livestock Production","001","","70","3.243","34.3","10.0","38.6","4.3","12.9",".",".",".",".",".",".",".",".",".",".","."
"200
Biol&Apprec-Companion Anmls","001","","144","2.927","19.4","20.1","21.5","16.7","16.7","4.9","0.7",".",".",".",".",".",".",".",".","."
"299","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","3","***","","","","","","","","","","","","","","","",""
"301
Physiol-Domestic & Lab Animals","001","","34","3.176","14.7","29.4","38.2","11.8","5.9",".",".",".",".",".",".",".",".",".",".","."
"311
Comparative Animal Nutritn","001","","29","2.086","10.3","17.2","6.9","6.9","24.1","20.7","13.8",".",".",".",".",".",".",".",".","."
"313","001","","7","3.071","14.3","14.3","42.9","28.6",".",".",".",".",".",".",".",".",".",".",".","."
"313","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Animal Feeds&Diet Formulatn","Course Total","","9","3.056","11.1","11.1","55.6","22.2",".",".",".",".",".",".",".",".",".",".",".","."
"375","001","","9","3.500","55.6","11.1","11.1","22.2",".",".",".",".",".",".",".",".",".",".",".","."
"375","003","","9","2.833","22.2",".","55.6","11.1",".",".","11.1",".",".",".",".",".",".",".",".","."
"Special Topics","Course Total","","18","3.056","38.9","5.6","33.3","16.7",".",".","5.6",".",".",".",".",".",".",".",".","."
"399","010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"399","067","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","Course Total","","3","***","","","","","","","","","","","","","","","",""
"431
Beef Cattle Production","001","","7","2.667","28.6",".","28.6",".","14.3",".","14.3","14.3",".",".",".",".",".",".",".","."
"435
Animal Sciences Proseminar","001","","12","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"515
Commercial Meat Processing","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"626
Experimental Diet Design","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"681","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honor Thesis","Course Total","","2","***","","","","","","","","","","","","","","","",""
"699","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","043","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","061","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","067","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","10","3.786","90.0",".",".","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"725
Muscle Biology","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"799
Practicum-Animal Sci Tchng","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"875","001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"875","002","","6","3.583","50.0","16.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","Course Total","","16","3.881","81.3","6.3","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"951
Seminar in Animal Breeding","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"954
Endocrinlgy-Reprodctve Phys","001","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"April 02, 2013","","","","","","","","","","","","","","","","","","","","Page 33 of 391"
