"ELECTRICAL AND COMPUTER E Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"320
E C E","","","","","","","","","","","","","","","","","","",""
"Cooperative Education Prog","1
001","24","3.826","91.7",".",".",".",".",".","4.2",".",".",".",".",".",".","4.2",".","."
"","170
001","15","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
170","14","3.929","92.9",".","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","170
003","14","3.786","78.6","14.3",".",".","7.1",".",".",".",".",".",".",".",".",".",".","."
"","170
004","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","005
170","12","3.625","58.3","16.7","16.7","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"","170
006","14","3.643","50.0","28.6","21.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","170
007","15","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","170
008","14","3.786","57.1","42.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","170
010","14","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introductory Laboratory","Course Total","125","3.828","74.4","19.2","4.8","0.8","0.8",".",".",".",".",".",".",".",".",".",".","."
"Electrodynamics I","220
001","69","3.464","43.5","23.2","23.2","2.9","7.2",".",".",".",".",".",".",".",".",".",".","."
"Circuit Analysis","230
001","87","2.937","13.8","26.4","19.5","27.6","8.0","2.3","2.3",".",".",".",".",".",".",".",".","."
"","270
001","15","3.800","66.7","26.7","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","270
002","15","3.933","86.7","13.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","270
003","10","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","270
004","15","3.800","66.7","26.7","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","270
005","10","3.833","60.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".","10.0","."
"Circuits Laboratory I","Course Total","65","3.852","72.3","23.1","3.1",".",".",".",".",".",".",".",".",".",".",".","1.5","."
"","271
001","15","3.600","26.7","66.7","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","271
002","14","3.536","21.4","64.3","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","271
003","13","3.923","84.6","15.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","271
004","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","271
005","7","3.214",".","42.9","57.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","271
006","13","3.654","53.8","23.1","23.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Circuits Laboratory II","Course Total","73","3.678","49.3","37.0","13.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Trans Lines & Netwks Lab","301
001","6","3.583","50.0","33.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"","305
001","9","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","305
002","10","3.600","80.0",".","10.0",".",".","10.0",".",".",".",".",".",".",".",".",".","."
"Semiconductr Properties Lab","Course Total","19","3.711","73.7","15.8","5.3",".",".","5.3",".",".",".",".",".",".",".",".",".","."
"Linear Active Circuits Lab","306
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Nonlinear Elec Circuits Lab","308
001","10","3.750","60.0","30.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","313
001","8","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
313","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","313
003","9","3.889","77.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Optoelectronics Lab","Course Total","26","3.904","80.8","19.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","315
001","12","3.667","41.7","50.0","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","315
002","12","3.458","50.0","25.0","8.3",".","16.7",".",".",".",".",".",".",".",".",".",".","."
"","315
003","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","315
004","7","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro Microprocessor Lab","Course Total","35","3.586","48.6","31.4","14.3",".","5.7",".",".",".",".",".",".",".",".",".",".","."
"Sensors Laboratory","317
001","13","3.654","53.8","23.1","23.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Electrodynamics II","320
001","79","2.905","16.5","15.2","30.4","26.6","3.8","6.3","1.3",".",".",".",".",".",".",".",".","."
"Transmission Lines-Digitl Appl","321
001","49","3.918","91.8","4.1","2.0",".","2.0",".",".",".",".",".",".",".",".",".",".","."
"April 02, 2013","","","","","","","","","","","","","","","","","","Page 114 of 391",""
