"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","",""
"EGR","","","","","","","","","","","","","","","","","","",""
"MECHANICAL ENGINEERING","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"612
M E","","","","","","","","","","","","","","","","","","",""
"Design of Machine Elements","Course Total","76","2.664","7.9","15.8","22.4","30.3","14.5","7.9","1.3",".",".",".",".",".",".",".",".","."
"","349
001","16","3.281","25.0","31.3","18.8","25.0",".",".",".",".",".",".",".",".",".",".",".","."
"","349
004","15","3.133","20.0","26.7","33.3",".","20.0",".",".",".",".",".",".",".",".",".",".","."
"","349
005","13","3.423","30.8","23.1","46.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Engineering Design Projects","Course Total","44","3.273","25.0","27.3","31.8","9.1","6.8",".",".",".",".",".",".",".",".",".",".","."
"Advanced Graphic Analysis","350
001","23","3.478","39.1","47.8","4.3","4.3",".",".","4.3",".",".",".",".",".",".",".",".","."
"","361
001","67","2.776","16.4","23.9","19.4","14.9","11.9","9.0","4.5",".",".",".",".",".",".",".",".","."
"","002
361","58","2.767","10.3","10.3","32.8","29.3","12.1","3.4","1.7",".",".",".",".",".",".",".",".","."
"Thermodynamics","Course Total","125","2.772","13.6","17.6","25.6","21.6","12.0","6.4","3.2",".",".",".",".",".",".",".",".","."
"","363
001","49","3.163","22.4","34.7","16.3","14.3","8.2","4.1",".",".",".",".",".",".",".",".",".","."
"","363
002","57","2.675","7.0","14.0","38.6","8.8","24.6","3.5","3.5",".",".",".",".",".",".",".",".","."
"Fluid Dynamics","Course Total","106","2.901","14.2","23.6","28.3","11.3","17.0","3.8","1.9",".",".",".",".",".",".",".",".","."
"","364
001","47","3.032","17.0","23.4","25.5","17.0","17.0",".",".",".",".",".",".",".",".",".",".","."
"","364
002","31","2.742","16.1","16.1","12.9","29.0","16.1","9.7",".",".",".",".",".",".",".",".",".","."
"Elementary Heat Transfer","Course Total","78","2.917","16.7","20.5","20.5","21.8","16.7","3.8",".",".",".",".",".",".",".",".",".","."
"Engr Measurements Lab","001
368","80","3.119","17.5","16.3","43.8","20.0","1.3","1.3",".",".",".",".",".",".",".",".",".","."
"Energy Systems Laboratory","370
001","49","2.755","10.2","12.2","26.5","24.5","24.5","2.0",".",".",".",".",".",".",".",".",".","."
"Mechanical Dissection","379
001","9","3.667","55.6","22.2","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","417
001","7","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","417
002","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","417
004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","417
005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro to Polymer Processing","Course Total","14","3.538","57.1","28.6",".",".",".",".","7.1",".",".",".",".",".","7.1",".",".","."
"","001
418","38","3.473","28.9","36.8","28.9","2.6",".",".",".",".",".",".",".",".",".","2.6",".","."
"","418
002","27","3.404","29.6","22.2","40.7","3.7",".",".",".",".",".",".",".",".",".","3.7",".","."
"","418
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","418
004","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Engr Design with Polymers","Course Total","69","3.447","29.0","30.4","33.3","2.9",".",".",".",".",".",".",".",".","1.4","2.9",".","."
"Stat Expermntl Design-Engrs","424
001","12","3.750","58.3","33.3","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Undergrad Rheology Seminar","425
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Metal Cutting","429
001","20","3.700","60.0","20.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Robotics","439
001","17","3.382","35.3","41.2","17.6",".",".",".","5.9",".",".",".",".",".",".",".",".","."
"Intermediate Vibrations","440
001","9","3.611","33.3","55.6","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","446
001","20","2.875","25.0","25.0","15.0","10.0","10.0","10.0","5.0",".",".",".",".",".",".",".",".","."
"","446
002","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","446
004","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Automatic Controls","Course Total","27","3.056","29.6","29.6","11.1","11.1","7.4","7.4","3.7",".",".",".",".",".",".",".",".","."
"Kinemtcs&Dynmcs-Machine Sys","001
451","16","3.594","56.3","18.8","18.8",".","6.3",".",".",".",".",".",".",".",".",".",".","."
"Internal Combustion Engines","469
001","41","3.390","26.8","26.8","43.9","2.4",".",".",".",".",".",".",".",".",".",".",".","."
"Honors in Research","489
036","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","491
007","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","491
017","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","491
036","2","***","","","","","","","","","",".",".",".",".",".",".","."
"April 02, 2013","","","","","","","","","","","","","","","","","","Page 130 of 391",""
