"ASTRONOMY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"188
ASTRON","","","","","","","","","","","","","","","","","","","",""
"100
Survey of Astronomy","001","","142","2.863","20.4","18.3","23.9","12.0","15.5","7.7","2.1",".",".",".",".",".",".",".",".","."
"103","001","","138","2.807","19.6","9.4","34.1","5.8","23.9","2.9","3.6",".",".",".",".",".",".","0.7",".","."
"103","002","","129","2.801","24.0","7.8","25.6","11.6","20.9","7.0","2.3",".",".",".",".",".",".",".","0.8","."
"The Evolving Universe","Course Total","","267","2.804","21.7","8.6","30.0","8.6","22.5","4.9","3.0",".",".",".",".",".",".","0.4","0.4","."
"113","001","","17","3.000","17.6",".","64.7","11.8",".","5.9",".",".",".",".",".",".",".",".",".","."
"113","002","","18","3.056","33.3","5.6","38.9","5.6","11.1",".","5.6",".",".",".",".",".",".",".",".","."
"113","003","","18","3.194","27.8","5.6","55.6",".","11.1",".",".",".",".",".",".",".",".",".",".","."
"113","004","","16","3.250","31.3",".","56.3","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"113","005","","15","3.500","53.3",".","40.0","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"113","006","","22","3.114","31.8","4.5","45.5","9.1","4.5",".","4.5",".",".",".",".",".",".",".",".","."
"Hands on the Universe","Course Total","","106","3.175","32.1","2.8","50.0","7.5","4.7","0.9","1.9",".",".",".",".",".",".",".",".","."
"150
Topics in Astronomy","001","","24","2.935","25.0","12.5","20.8","8.3","25.0","4.2",".","4.2",".",".",".",".",".",".",".","."
"310
Stellar Astrophysics","001","","18","3.167","44.4","11.1","5.6","11.1","27.8",".",".",".",".",".",".",".",".",".",".","."
"460
Experience-Astronom Observ","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"691
Senior Thesis","018","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699
Directed Study","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"700
Basic Astrophysics","001","","7","3.571","28.6","57.1","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"730
Galaxies","001","","11","3.364","18.2","45.5","27.3","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"910
Seminar in Astrophysics","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"920
Smnar-Astrophysical Topics","001","","8","3.792","75.0","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","015","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","22","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
