"Lit in Trans-Icelandic Saga","346
001","","6","2.977",".","33.3","33.3","16.7","16.7",".","",".","",".","",".","",".",".","",".","",".",".",".","."
"Jewish Civ-Medvl Spain(Eng)","473
001","","3","***","","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"Adv Intdis Stdy-Medvl Civ","550
001","","2","***","","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"Directed Study","699
030","","1","***","","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"MEDIEVAL
633","Dept. Total","","29","3.353","27.6","31.0","24.1","6.9","6.9","",".","",".","",".","",".",".","",".","",".","3.4",".",".","."
"Summary by Level","","#","","Ave","A","AB","B","BC","C","D","","F","","S","","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","",""
"633
MEDIEVAL","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","","2","3.429","50.0",".","50.0",".",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Junior","","","12","3.452","33.3","33.3","25.0","8.3",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Senior","","","14","3.250","21.4","35.7","21.4","7.1","14.3","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Undergraduates","","","28","3.353","28.6","32.1","25.0","7.1","7.1","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Special","","","1","",".",".",".",".",".","",".","",".","",".","",".",".","",".","",".","100.0",".",".","."
"","Dept. Total","","29","3.353","27.6","31.0","24.1","6.9","6.9","",".","",".","",".","",".",".","",".","",".","3.4",".",".","."
