"SOCIOLOGY","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"900
SOC","","","","","","","","","","","","","","","","","","","","",""
"","475","001","","66","3.212","36.4","24.2","13.6","9.1","10.6","6.1",".",".",".",".",".",".",".",".",".","."
"","475","002","","60","3.242","43.3","25.0","8.3","10.0","1.7","10.0","1.7",".",".",".",".",".",".",".",".","."
"","475","003","","20","3.525","45.0","20.0","30.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"Classical Soc Theory","","Course Total","","146","3.267","40.4","24.0","13.7","8.9","5.5","6.8","0.7",".",".",".",".",".",".",".",".","."
"Contemporary Soc Theory","476","001","","12","3.595","75.0","16.7",".",".",".",".","8.3",".",".",".",".",".",".",".",".","."
"Feminism & Sociologicl Thry","477","001","","16","3.438","43.8","18.8","25.0","6.3","6.3",".",".",".",".",".",".",".",".",".",".","."
"Topics in Sociology","496","002","","43","4.000","97.7",".",".",".",".",".",".","2.3",".",".",".",".",".",".",".","."
"Intro-Social Psychology","530","002","","40","3.075","22.5","20.0","22.5","20.0","15.0",".",".",".",".",".",".",".",".",".",".","."
"Sociology of Medicine","531","001","","24","3.479","16.7","62.5","20.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Language&Social Interaction","535","001","","21","3.125","33.3","9.5","23.8","4.8","23.8",".",".",".",".",".",".",".",".",".","4.8","."
"Sociology of Religion","615","001","","23","3.348","34.8","30.4","13.0","13.0","8.7",".",".",".",".",".",".",".",".",".",".","."
"Sociology of Culture","616","001","","39","3.500","28.2","56.4","10.3",".",".",".","2.6",".",".",".",".",".","2.6",".",".","."
"Community Development","617","001","","16","3.100","18.8","12.5","37.5","18.8","6.3",".",".","6.3",".",".",".",".",".",".",".","."
"Comparative Racial Inequality","620","001","","29","3.143","27.6","20.7","27.6","6.9","6.9","6.9",".","3.4",".",".",".",".",".",".",".","."
"Class,State&Ideol:IntroMarx","621","001","","27","3.731","59.3","29.6","3.7",".","3.7",".",".",".",".",".",".",".","3.7",".",".","."
"Political Sociology","624","001","","24","3.087","41.7","20.8","12.5","4.2","4.2",".","12.5","4.2",".",".",".",".",".",".",".","."
"Soc:Devlp Societies/3rd Wld","630","001","","26","3.660","57.7","11.5","26.9",".",".",".",".",".",".",".",".",".","3.8",".",".","."
"Sociology of Organizations","632","001","","33","3.545","48.5","24.2","18.2","6.1","3.0",".",".",".",".",".",".",".",".",".",".","."
"Sociology of Science","637","001","","14","3.708","57.1","21.4",".",".","7.1",".",".",".",".",".",".",".","14.3",".",".","."
"","648","001","","31","3.218","16.1","32.3","35.5","9.7","6.5",".",".",".",".",".",".",".",".",".",".","."
"","648","002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Sociology of Education","","Course Total","","36","3.312","25.0","30.6","30.6","8.3","5.6",".",".",".",".",".",".",".",".",".",".","."
"Foundatn of Economic Sociology","651","001","","12","3.458","33.3","33.3","25.0","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"Population and Society","663","001","","27","3.000","25.9","18.5","29.6","3.7","14.8","3.7","3.7",".",".",".",".",".",".",".",".","."
"Urbanism and Urbanization","677","001","","18","3.111","16.7","27.8","33.3","5.6","16.7",".",".",".",".",".",".",".",".",".",".","."
"","681","034","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","681","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681","066","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","","Course Total","","4","***","","","","","","","","","","","","","","","",""
"","682","061","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682","085","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","","Course Total","","2","***","","","","","","","","","","","","","","","",""
"","691","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","691","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","691","066","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","","Course Total","","3","***","","","","","","","","","","","","","","","",""
"","698","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","698","046","","9","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","698","066","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","698","090","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","","15","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","699","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
