"STATISTICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"932
STAT","","","","","","","","","","","","","","","","","","",""
"Principles of Statistics","201
001","57","2.750","17.5","3.5","47.4",".","19.3","7.0","3.5","1.8",".",".",".",".",".",".",".","."
"","224
001","88","2.898","14.8","15.9","28.4","25.0","12.5","2.3","1.1",".",".",".",".",".",".",".",".","."
"","224
002","19","3.053","21.1","21.1","21.1","21.1","15.8",".",".",".",".",".",".",".",".",".",".","."
"","003
224","87","2.649","13.8","13.8","24.1","14.9","20.7","10.3","2.3",".",".",".",".",".",".",".",".","."
"Intro Stats for Engineers","Course Total","194","2.802","14.9","15.5","25.8","20.1","16.5","5.7","1.5",".",".",".",".",".",".",".",".","."
"","301
001","92","3.011","20.7","20.7","20.7","20.7","16.3",".","1.1",".",".",".",".",".",".",".",".","."
"","002
301","90","3.061","25.6","26.7","23.3","7.8","8.9","3.3","4.4",".",".",".",".",".",".",".",".","."
"","003
301","86","3.076","26.7","14.0","31.4","12.8","11.6","2.3","1.2",".",".",".",".",".",".",".",".","."
"","301
004","90","2.933","30.0","6.7","31.1","11.1","12.2","4.4","4.4",".",".",".",".",".",".",".",".","."
"","301
005","123","3.133","26.0","13.0","35.0","11.4","11.4",".","0.8","0.8",".",".",".",".",".","1.6",".","."
"","301
006","93","2.707","16.1","14.0","23.7","11.8","23.7","6.5","3.2",".",".",".",".",".","1.1",".",".","."
"","301
007","19","3.263","31.6","15.8","31.6","15.8","5.3",".",".",".",".",".",".",".",".",".",".","."
"","301
008","102","2.961","25.5","26.5","19.6","8.8","6.9","6.9","5.9",".",".",".",".",".",".",".",".","."
"Intro-Statistical Methods","Course Total","695","2.996","24.6","17.3","26.8","12.1","12.7","3.2","2.9","0.1",".",".",".",".","0.1","0.3",".","."
"Intro to Math Statistics","309
001","30","3.300","26.7","20.0","43.3","6.7","3.3",".",".",".",".",".",".",".",".",".",".","."
"","311
001","61","3.025","41.0","23.0","6.6","8.2","4.9","8.2","8.2",".",".",".",".",".",".",".",".","."
"","002
311","44","2.875","6.8","22.7","40.9","11.4","13.6","2.3","2.3",".",".",".",".",".",".",".",".","."
"Intro to Mathematical Stat","Course Total","105","2.962","26.7","22.9","21.0","9.5","8.6","5.7","5.7",".",".",".",".",".",".",".",".","."
"Intro to Mathematical Stat","312
001","45","3.193","13.3","28.9","42.2","8.9","4.4",".",".","2.2",".",".",".",".",".",".",".","."
"Intro Applied Stats for Engrs","324
001","37","3.095","24.3","18.9","21.6","21.6","13.5",".",".",".",".",".",".",".",".",".",".","."
"Applied Regression Analysis","333
001","22","2.975","22.7","18.2","27.3","4.5","4.5","13.6",".",".",".",".",".",".",".",".","9.1","."
"Intro Applied Stats-Life Sci","371
001","94","3.564","50.0","27.7","12.8","6.4","2.1","1.1",".",".",".",".",".",".",".",".",".","."
"Intro-Survey Theory & Meths","411
001","23","3.214","43.5","13.0","13.0","8.7","4.3","4.3","4.3","8.7",".",".",".",".",".",".",".","."
"Stat Expermntl Design-Engrs","424
001","24","3.333","20.8","37.5","33.3","4.2","4.2",".",".",".",".",".",".",".",".",".",".","."
"Intro-Theory of Probability","431
002","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro-Stat Data Processing","471
001","11","3.364","45.5","36.4","9.1",".",".",".","9.1",".",".",".",".",".",".",".",".","."
"Intro-Combinatorics","475
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro to Biostatistics","541
001","69","3.621","40.6","39.1","14.5","1.4",".",".",".","1.4",".",".",".",".","2.9",".",".","."
"","571
001","58","3.588","34.5","48.3","13.8","1.7",".",".",".","1.7",".",".",".",".",".",".",".","."
"","571
002","57","3.605","29.8","61.4","8.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Stat Meth for Bioscience I","Course Total","115","3.596","32.2","54.8","11.3","0.9",".",".",".","0.9",".",".",".",".",".",".",".","."
"Statistical Meths-Spatial Data","001
575","30","3.741","53.3","36.7","6.7",".",".",".",".","3.3",".",".",".",".",".",".",".","."
"Mathematical Statistics I","609
001","19","3.639","42.1","36.8","15.8",".",".",".",".",".",".",".",".",".",".",".","5.3","."
"Intro-Stochastic Processes","632
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Stat Mthds for Clin Trials","641
001","26","3.442","57.7","19.2","15.4",".",".",".","7.7",".",".",".",".",".",".",".",".","."
"","681
028","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681
256","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","2","***","","","","","","","","","","","","","","","",""
"Directed Study","698
092","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
092","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
165","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","5","***","","","","","","","","","","","","","","","",""
