"","967
009","1","***","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"","967
010","1","***","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"","967
011","1","***","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Urology Clerkship-CSC","Course Total","4","***","","","","","","","","","","","","","","","","","","","","","","",""
"SURGERY
936","Dept. Total","188","3.462","41.5","26.1","25.5","0.5","",".","",".","",".","5.9","",".",".","",".","",".","",".",".",".","0.5"
"Summary by Level","","#","Ave","A","AB","B","BC","C","","D","","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"936
SURGERY","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Junior","","4","4.000","100.0",".",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Senior","","1","4.000","100.0",".",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","5","4.000","100.0",".",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 1","","5","3.467","40.0","40.0","20.0",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 2","","3","3.500","66.7",".","33.3",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 3","","85","3.317","18.8","31.8","45.9","1.2","",".","",".","",".","1.2","",".",".","",".","",".","",".",".",".","1.2"
"Prof Yr 4","","90","3.798","58.9","22.2","7.8",".","",".","",".","",".","11.1","",".",".","",".","",".","",".",".",".","."
"Professionals","","183","3.456","39.9","26.8","26.2","0.5","",".","",".","",".","6.0","",".",".","",".","",".","",".",".",".","0.5"
"","Dept. Total","188","3.462","41.5","26.1","25.5","0.5","",".","",".","",".","5.9","",".",".","",".","",".","",".",".",".","0.5"
