"","","","","","","","","","(Non-Cross Listed)","","","","","","","","","","","",""
"L&S","","","","","","","","","","","","","","","","","","","","",""
"HISTORY OF SCIENCE","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"456
HIST SCI","","","","","","","","","","","","","","","","","","","","",""
"Great Scientists","100","001","","34","3.652","61.8","8.8","23.5",".","2.9",".",".","2.9",".",".",".",".",".",".",".","."
"Fr Hon Sm:Hist Sci,Tech,Med","180","001","","13","3.808","69.2","23.1","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Origins-Scientific Thought","201","001","","74","3.219","18.9","25.7","36.5","14.9","2.7",".",".","1.4",".",".",".",".",".",".",".","."
"Sci in 20th C:Hist Overview","203","001","","78","2.927","19.2","12.8","38.5","11.5","7.7",".","6.4","2.6",".",".",".",".",".",".","1.3","."
"The Physician in History","212","001","","39","3.295","20.5","41.0","28.2","7.7",".",".","2.6",".",".",".",".",".",".",".",".","."
"Ag&Soc Change-Western Hist","230","001","","7","3.357","28.6","42.9","14.3",".","14.3",".",".",".",".",".",".",".",".",".",".","."
"History of Technology","337","001","","32","3.481","25.0","37.5","12.5","3.1","3.1",".",".","18.8",".",".",".",".",".",".",".","."
"History of Ecology","353","001","","20","3.316","45.0","15.0","15.0","15.0",".",".","5.0","5.0",".",".",".",".",".",".",".","."
"Society&Health Care-Am Hist","504","001","","12","3.176","8.3","58.3","8.3","8.3","16.7",".",".",".",".",".",".",".",".",".",".","."
"Health, Disease & Healing I","507","001","","17","3.422","41.2","17.6","23.5","11.8","5.9",".",".",".",".",".",".",".",".",".",".","."
"Dev Public Health-America","509","001","","22","3.500","45.5","27.3","13.6","9.1","4.5",".",".",".",".",".",".",".",".",".",".","."
"History of Social Sciences","536","001","","8","3.625","37.5","50.0","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Greek & Roman Med & Phcy","561","001","","7","3.250","28.6",".","42.9","14.3",".",".",".","14.3",".",".",".",".",".",".",".","."
"Studies-Hist of Technology","637","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","668","001","","12","3.545","41.7","25.0","16.7","8.3",".",".",".",".",".",".",".",".","8.3",".",".","."
"","668","002","","17","3.469","29.4","35.3","23.5","5.9",".",".",".",".",".",".",".",".","5.9",".",".","."
"Topics in History of Med","","Course Total","","29","3.500","34.5","31.0","20.7","6.9",".",".",".",".",".",".",".",".","6.9",".",".","."
"Senior Honors Thesis","681","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","691","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","692","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","699","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Historiography & Methods","720","001","","7","3.357","42.9","14.3","28.6",".","14.3",".",".",".",".",".",".",".",".",".",".","."
"Social Aspects-Dev of Sci","913","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"History of Science Colloq","950","001","","6","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","990","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","014","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","015","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","021","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","","Course Total","","14","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","999","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Work","","Course Total","","4","***","","","","","","","","","","","","","","","",""
