"L&S","","","","","","","","","","","","","","","","","","","",""
"ATMOSPHERIC & OCEANIC SCIE Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"640
ATM OCN","","","","","","","","","","","","","","","","","","","",""
"990","026","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","029","","6","",".",".",".",".",".",".",".","83.3",".",".",".",".",".",".",".","16.7"
"990","030","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","031","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","","44","",".",".",".",".",".",".",".","95.5","2.3",".",".",".",".",".",".","2.3"
"999","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","026","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Independent Study","Course Total","","3","***","","","","","","","","","","","","","","","",""
