"ITALIAN (FRENCH AND ITALIAN) Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"508
ITALIAN","","","","","","","","","","","","","","","","","","","",""
"659
Dante's Divina Commedia","001","","20","3.350","45.0","15.0","25.0","5.0","5.0","5.0",".",".",".",".",".",".",".",".",".","."
"681
Senior Honors Thesis","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799
Independent Study","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"951
Smr-Studies in Italian Lit","001","","8","3.900","50.0","12.5",".",".",".",".",".","12.5",".",".",".",".","12.5",".","12.5","."
"990","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Individual Research","Course Total","","7","",".",".",".",".",".",".",".","57.1",".",".",".","28.6",".",".","14.3","."
