"Summary by Level","","#","Ave","A","AB","B","BC","C","D","","F","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","",""
"INTER-HE","","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","1","4.000","100.0",".",".",".",".","",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Sophomore","","4","3.182","50.0",".","25.0",".","25.0","",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Junior","","22","3.269","18.2","40.9","27.3",".","13.6","",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Senior","","69","3.577","44.9","27.5","23.2","2.9",".","",".","1.4","",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","96","3.498","39.6","29.2","24.0","2.1","4.2","",".","1.0","",".","",".",".","",".","",".","",".",".",".","."
"Special","","5","3.786","80.0",".","20.0",".",".","",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Graduate","","3","3.833","66.7","33.3",".",".",".","",".",".","",".","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","104","3.520","42.3","27.9","23.1","1.9","3.8","",".","1.0","",".","",".",".","",".","",".","",".",".",".","."
