"BIOLOGICAL SYSTEMS ENGINE","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"112
BSE","","","","","","","","","","","","","","","","","","",""
"Surveying Fundamentals","201
001","42","3.560","54.8","14.3","21.4","7.1","2.4",".",".",".",".",".",".",".",".",".",".","."
"Field Applicatns-Surveying","202
001","38","3.382","44.7","15.8","23.7","7.9","5.3","2.6",".",".",".",".",".",".",".",".",".","."
"Engr Principles-Biol Systms","249
001","15","3.167","46.7","20.0","6.7","13.3",".","6.7","6.7",".",".",".",".",".",".",".",".","."
"Engr Prop-Food & Biol Matls","364
001","13","2.654","7.7",".","30.8","38.5","23.1",".",".",".",".",".",".",".",".",".",".","."
"On-Site Waste Water Treatment","372
001","16","2.667","18.8",".","31.3","12.5","18.8","12.5",".",".",".",".",".",".",".","6.3",".","."
"Coord Intrnshp/Cooprtv Educ","399
009","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Career Management-Engineers","409
001","8","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Irrigatn&Drainage Sys Dsgn","473
001","10","2.950",".","20.0","60.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".","."
"Engr Principles-Ag Machinery","475
001","6","2.917",".","16.7","66.7",".","16.7",".",".",".",".",".",".",".",".",".",".","."
"Biol Sys Engr Senior Design","509
001","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Food & Phmaceut Separations","642
001","21","3.204","19.0","47.6","23.8",".",".","4.8","4.8",".",".",".",".",".",".",".",".","."
"Topics-Natural Resrces Engr","671
001","12","3.792","58.3","41.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Problems","699
014","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics","875
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Seminar","900
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
003","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
014","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
015","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
018","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
021","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
022","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
09","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","15","",".",".",".",".",".",".",".","46.7",".",".",".","53.3",".",".",".","."
"Special Problems","999
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"BSE
112","Dept. Total","214","3.269","36.4","16.4","20.1","7.5","5.1","2.3","0.9","3.3",".","3.7",".","3.7",".","0.5",".","."
