"ALS","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTERDIS COURSES (C A L S)","Section","#","Ave","A","AB","B","BC","C","","D","","F","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"494
INTER-AG","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Issues in Ag, Envir & Life Sci","155
001","61","3.861","91.8","1.6","1.6","3.3","",".",".","","1.6",".","",".","",".",".","",".","",".","",".",".","."
"Undergrad Research Experience","250
006","1","***","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Intro to Undergrad Research","288
001","9","4.000","100.0",".",".",".","",".",".","",".",".","",".","",".",".","",".","",".","",".",".","."
"Special Topics","375
001","12","4.000","100.0",".",".",".","",".",".","",".",".","",".","",".",".","",".","",".","",".",".","."
"CALS Honor Interdis Jr Seminar","388
001","15","4.000","100.0",".",".",".","",".",".","",".",".","",".","",".",".","",".","",".","",".",".","."
"Engaged Learning-Comm Service","393
001","26","3.846","76.9","19.2",".","3.8","",".",".","",".",".","",".","",".",".","",".","",".","",".",".","."
"Special Topics","875
002","1","***","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"INTER-AG
494","Dept. Total","125","3.887","91.2","4.8","0.8","2.4","",".","",".","0.8","",".","",".",".","",".","",".","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","","D","","F","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"494
INTER-AG","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","58","3.861","91.4","1.7","1.7","3.4","",".","",".","1.7","",".","",".",".","",".","",".","",".",".",".","."
"Sophomore","","10","3.850","80.0","20.0",".",".","",".","",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Junior","","26","3.857","92.3","3.8",".","3.8","",".","",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Senior","","30","3.946","93.3","6.7",".",".","",".","",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","124","3.885","91.1","4.8","0.8","2.4","",".","",".","0.8","",".","",".",".","",".","",".","",".",".",".","."
"Graduate","","1","4.000","100.0",".",".",".","",".","",".",".","",".","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","125","3.887","91.2","4.8","0.8","2.4","",".","",".","0.8","",".","",".",".","",".","",".","",".",".",".","."
