"SPANISH (SPANISH AND PORTU Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"912
SPANISH","","","","","","","","","","","","","","","","","","",""
"","203
012","24","2.917","4.2","16.7","62.5",".","12.5","4.2",".",".",".",".",".",".",".",".",".","."
"","014
203","21","2.976","14.3","14.3","47.6","9.5","9.5","4.8",".",".",".",".",".",".",".",".",".","."
"","015
203","23","3.196","26.1","26.1","30.4","4.3","8.7","4.3",".",".",".",".",".",".",".",".",".","."
"","203
016","20","2.975","25.0","5.0","55.0",".","5.0","5.0","5.0",".",".",".",".",".",".",".",".","."
"","203
017","22","2.386","4.5","9.1","31.8","13.6","22.7","13.6","4.5",".",".",".",".",".",".",".",".","."
"","203
018","19","2.722","15.8","10.5","21.1","21.1","21.1",".","5.3","5.3",".",".",".",".",".",".",".","."
"","019
203","21","2.548","14.3","4.8","23.8",".","52.4","4.8",".",".",".",".",".",".",".",".",".","."
"","203
020","22","3.381","45.5","9.1","27.3",".","13.6",".",".","4.5",".",".",".",".",".",".",".","."
"","021
203","21","3.000","14.3","9.5","47.6","19.0","9.5",".",".",".",".",".",".",".",".",".",".","."
"","203
022","20","2.475",".","10.0","50.0","5.0","25.0",".","10.0",".",".",".",".",".",".",".",".","."
"","203
023","22","3.432","54.5","18.2","13.6","4.5","4.5",".","4.5",".",".",".",".",".",".",".",".","."
"","203
024","19","2.722","15.8","5.3","26.3","26.3","15.8",".","5.3","5.3",".",".",".",".",".",".",".","."
"","025
203","23","2.591","4.3","8.7","43.5","8.7","21.7","4.3","4.3","4.3",".",".",".",".",".",".",".","."
"","203
026","20","3.200","25.0","35.0","25.0","5.0","5.0",".","5.0",".",".",".",".",".",".",".",".","."
"","203
027","24","3.563","45.8","29.2","20.8",".","4.2",".",".",".",".",".",".",".",".",".",".","."
"","203
028","20","3.375","35.0","25.0","30.0",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"","203
029","19","3.263","15.8","21.1","63.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","030
203","22","3.523","40.9","31.8","22.7",".","4.5",".",".",".",".",".",".",".",".",".",".","."
"","203
031","22","3.227","13.6","31.8","45.5","4.5","4.5",".",".",".",".",".",".",".",".",".",".","."
"","034
203","19","2.763","26.3","15.8","15.8",".","31.6","5.3","5.3",".",".",".",".",".",".",".",".","."
"","203
035","19","3.211","52.6","10.5","5.3","10.5","10.5","10.5",".",".",".",".",".",".",".",".",".","."
"Third Semester Spanish","Course Total","646","3.094","25.1","19.2","32.0","6.7","12.2","2.3","1.7","0.8",".",".",".",".",".",".",".","."
"","204
001","19","3.500","31.6","36.8","21.1","5.3",".",".",".","5.3",".",".",".",".",".",".",".","."
"","204
002","24","3.146","20.8","16.7","41.7","12.5","8.3",".",".",".",".",".",".",".",".",".",".","."
"","204
003","22","3.273","9.1","50.0","27.3","13.6",".",".",".",".",".",".",".",".",".",".",".","."
"","004
204","24","2.813",".","20.8","54.2","8.3","8.3","8.3",".",".",".",".",".",".",".",".",".","."
"","204
005","15","2.933","6.7","6.7","66.7","6.7","13.3",".",".",".",".",".",".",".",".",".",".","."
"","204
006","20","2.850","10.0","15.0","35.0","25.0","10.0","5.0",".",".",".",".",".",".",".",".",".","."
"","204
009","21","2.750","4.8","14.3","47.6","4.8","14.3","9.5",".","4.8",".",".",".",".",".",".",".","."
"","204
010","15","3.067","26.7",".","46.7","13.3","13.3",".",".",".",".",".",".",".",".",".",".","."
"","204
011","18","2.833","11.1","11.1","44.4","11.1","16.7","5.6",".",".",".",".",".",".",".",".",".","."
"","012
204","22","2.977","18.2","18.2","40.9","4.5","9.1","9.1",".",".",".",".",".",".",".",".",".","."
"","204
013","23","3.261","30.4","26.1","26.1",".","17.4",".",".",".",".",".",".",".",".",".",".","."
"","014
204","22","3.114","18.2","31.8","27.3","9.1","9.1","4.5",".",".",".",".",".",".",".",".",".","."
"","204
015","20","2.400","5.0","5.0","25.0","25.0","30.0","5.0","5.0",".",".",".",".",".",".",".",".","."
"","204
016","15","2.767",".","33.3","20.0","13.3","33.3",".",".",".",".",".",".",".",".",".",".","."
"","204
017","17","3.235","23.5","41.2","11.8","5.9","17.6",".",".",".",".",".",".",".",".",".",".","."
"","204
018","20","3.000","25.0","10.0","30.0","20.0","10.0","5.0",".",".",".",".",".",".",".",".",".","."
"","204
019","20","3.725","60.0","25.0","15.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","204
020","23","3.522","34.8","34.8","30.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","021
204","19","3.263","26.3","26.3","36.8","5.3",".","5.3",".",".",".",".",".",".",".",".",".","."
"","022
204","24","3.143","33.3","20.8","8.3","4.2","12.5","8.3",".","12.5",".",".",".",".",".",".",".","."
"","204
024","23","3.500","26.1","47.8","26.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fourth Semester Spanish","Course Total","426","3.108","20.4","23.9","32.2","8.7","10.1","3.3","0.2","1.2",".",".",".",".",".",".",".","."
"","223
001","181","3.461","42.0","20.4","29.8","3.3","2.2","0.6","0.6","0.6",".",".",".",".",".","0.6",".","."
"","223
002","12","2.875","25.0","8.3","16.7","16.7","33.3",".",".",".",".",".",".",".",".",".",".","."
"April 02, 2013","","","","","","","","","","","","","","","","","","Page 298 of 391",""
