"L&S","","","","","","","","","","","","","","","","","","","",""
"","E ASIAN LANGUAGES & LITERA Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"295
E ASIAN","","","","","","","","","","","","","","","","","","","",""
"First Semester Chinese","101","001","67","3.614","55.2","20.9","17.9","1.5","1.5","1.5",".",".",".",".",".",".",".","1.5",".","."
"First Semester Japanese","103","001","125","3.224","32.8","28.0","12.8","11.2","9.6","2.4","1.6","1.6",".",".",".",".",".",".",".","."
"Elementary Korean","105","001","16","3.063","18.8","25.0","25.0","12.5","18.8",".",".",".",".",".",".",".",".",".",".","."
"Elementary Chinese","122","001","6","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Elementary Japanese","124","001","16","2.893","18.8","18.8","12.5","12.5","18.8","6.3",".","12.5",".",".",".",".",".",".",".","."
"Third Semester Chinese","201","001","32","3.550","31.3","46.9","9.4","6.3",".",".",".",".",".",".",".",".",".",".","6.3","."
"Third Semester Japanese","203","001","48","3.091","12.5","29.2","29.2","8.3","10.4","2.1",".","6.3","2.1",".",".",".",".",".",".","."
"Intro-Japanese Culture&Civ","253","001","26","3.220","26.9","26.9","23.1","15.4",".",".","3.8",".",".",".",".",".","3.8",".",".","."
"Religion-Hist&Culture: East","273","001","39","3.236","7.7","41.0","30.8","12.8",".",".",".","5.1",".",".",".",".",".","2.6",".","."
"Directed Study","299","035","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","300","000A","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","300","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Humanities Topics in EAS","","Course Total","5","***","","","","","","","","","","","","","","","",""
"Fifth Semester Chinese","301","001","19","3.605","57.9","26.3","10.5",".",".","5.3",".",".",".",".",".",".",".",".",".","."
"5th Semester Japanese","303","001","27","3.130","44.4","11.1","14.8","7.4","14.8","3.7","3.7",".",".",".",".",".",".",".",".","."
"First Semester Chinese","311","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Third Semester Chinese","317","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"1st Yr Classical Chinese","321","001","28","3.444","32.1","32.1","21.4","10.7",".",".",".",".",".",".",".",".",".",".","3.6","."
"Basic Technical Japanese I","330","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Hist-Modern China 1911-1949","338","001","9","2.891","22.2","22.2","22.2","11.1","11.1",".","11.1",".",".",".",".",".",".",".",".","."
"Classic Chinese-Non-Majors","341","001","32","3.594","53.1","21.9","15.6","9.4",".",".",".",".",".",".",".",".",".",".",".","."
"Third Semester Korean","345","001","7","3.714","42.9","57.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Survey-Chinese Literature","351","001","13","3.542","23.1","53.8","15.4",".",".",".",".",".",".",".",".",".",".","7.7",".","."
"Survey-Japanese Literature","353","001","13","3.458","30.8","30.8","23.1","7.7",".",".",".",".",".",".",".",".","7.7",".",".","."
"Survey-Japanese Literature","354","000A","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Introduction to Buddhism","364","001","41","2.821","4.9","19.5","39.0","9.8","19.5",".","2.4","4.9",".",".",".",".",".",".",".","."
"Intermed Tech Japanese I","374","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Seventh Semester Chinese","401","001","9","3.774","55.6","44.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seventh Semester Japanese","403","001","8","3.250","25.0","25.0","37.5",".","12.5",".",".",".",".",".",".",".",".",".",".","."
"Japanese for Bus & Industry","430","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro-Japanese Linguistics","434","001","9","3.556","44.4","33.3","11.1","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"History of Chinese Language","631","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"History-Chinese Literature","651","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Hist-Chinese Thought, Part 2","662","001","6","4.000","83.3",".",".",".",".",".",".","16.7",".",".",".",".",".",".",".","."
"Directed Study","699","045","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Prosem-Chinese Literature","701","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Chinese Philosophical Texts","762","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Stdys-Japanese Linguistics","775","001","9","3.667","44.4","44.4","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Reading for Research","799","030","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Smr-Chinese Literature","951","001","7","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
