"CIVIL AND ENVIRONMENTAL EN Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"240
CIV ENGR","","","","","","","","","","","","","","","","","","","",""
"790","069","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Master's Research or Thesis","Course Total","","58","",".",".",".",".",".",".",".","55.2","1.7",".",".","43.1",".",".",".","."
"821
Envir Engr:Biologic Treatmt","001","","7","3.500","28.6","42.9","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"890","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"890","010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"890","029","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"890","031","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"890","038","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"890","039","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"890","047","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","051","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"890","053","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"890","055","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"890","057","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"890","058","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","059","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","061","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"890","062","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","063","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"890","064","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"890","067","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"890","069","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Pre-Dissertator's Research","Course Total","","45","",".",".",".",".",".",".",".","57.8","2.2",".",".","40.0",".",".",".","."
"909
Smr-Water Chemistry Rsch","001","","18","4.000","33.3",".",".",".",".",".",".","66.7",".",".",".",".",".",".",".","."
"919
Hydraulic Engr & Fluid Mech","001","","9","3.786","44.4","33.3",".",".",".",".",".","22.2",".",".",".",".",".",".",".","."
"929
Seminar-Envir Engineering","001","","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"950
Envr Monitoring Seminar","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"951
Seminar-Geospatial Info Engr","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"970
Colloq-Trnsportatn Mgmt&Policy","001","","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","031","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","039","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","051","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","053","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","054","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","055","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","057","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","059","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","061","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","062","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","063","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","064","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","067","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"April 02, 2013","","","","","","","","","","","","","","","","","","","Page 112 of 391",""
