"","ATMOSPHERIC & OCEANIC SCIE Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"640
ATM OCN","","","","","","","","","","","","","","","","","","","","",""
"","100","001","","291","3.332","43.0","19.6","17.9","10.0","4.5","3.1","1.4","0.7",".",".",".",".",".",".",".","."
"","100","002","","292","2.948","12.3","24.3","27.4","22.3","8.2","5.1",".",".",".",".",".",".",".",".","0.3","."
"Weather and Climate","","Course Total","","583","3.140","27.6","22.0","22.6","16.1","6.3","4.1","0.7","0.3",".",".",".",".",".",".","0.2","."
"Weather and Climate","101","001","","96","3.443","44.8","24.0","20.8","2.1","6.3","1.0","1.0",".",".",".",".",".",".",".",".","."
"Survey of Oceanography","105","001","","35","3.014","17.1","11.4","45.7","14.3","8.6","2.9",".",".",".",".",".",".",".",".",".","."
"Atmspherc Envirnmnt&Society","121","001","","80","3.312","31.3","23.8","18.8","18.8","3.8",".",".","2.5",".",".",".",".",".",".","1.3","."
"Global Chg: Atmospheric Iss","171","001","","18","3.429","27.8","33.3","38.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro Weather Anal&Forecast","252","001","","7","2.571",".","14.3","57.1","14.3",".",".","14.3",".",".",".",".",".",".",".",".","."
"Dynamics-Atmosphere&Ocean I","310","001","","26","1.865","7.7","3.8","11.5","7.7","34.6","19.2","15.4",".",".",".",".",".",".",".",".","."
"Physics-Atmosphere&Ocean I","330","001","","24","2.813","16.7","16.7","16.7","20.8","25.0","4.2",".",".",".",".",".",".",".",".",".","."
"Global Climate Processes","425","001","","14","3.393","28.6","35.7","21.4","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"Radar Meteorology","444","001","","13","3.269","38.5","7.7","38.5",".","15.4",".",".",".",".",".",".",".",".",".",".","."
"Syn Lab I:Frontal Cyclone","452","001","","15","3.033","20.0","13.3","33.3","20.0","13.3",".",".",".",".",".",".",".",".",".",".","."
"Teachr Wkshp-Earth Sys Sci-Web","509","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Climatological Analysis","575","001","","10","3.550","40.0","30.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Geophys Fluid Dynamics I","610","001","","17","3.588","41.2","35.3","23.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Electronic Aids to Measmnt","623","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro to Atm & Ocn Physics","630","001","","15","3.500","26.7","46.7","26.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Physical Oceanography","660","001","","15","3.333","33.3","20.0","33.3","6.7","6.7",".",".",".",".",".",".",".",".",".",".","."
"Senior Honors Thesis","681","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","691","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","691","031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","","Course Total","","2","***","","","","","","","","","","","","","","","",""
"Directed Study","698","029","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","018","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","026","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","","5","***","","","","","","","","","","","","","","","",""
"Topics-Theoretical Meteor","801","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","907","001","","32","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","907","002","","17","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Seminar:Research Presentations","","Course Total","","49","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Seminar-Climatology","910","001","","11","",".",".",".",".",".",".",".","90.9",".",".",".","9.1",".",".",".","."
"Seminar-Cloud Physics","931","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar-Oceanography","960","001","","8","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990","005","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","009","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","011","","11","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990","013","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","016","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990","017","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"April 02, 2013","","","","","","","","","","","","","","","","","","","","Page 252 of 391",""
