"","668
002","8","3.143","12.5","25.0","37.5",".","12.5",".",".","","12.5",".","",".",".","",".","",".","",".",".","."
"Topics in History of Med","Course Total","14","3.333","28.6","14.3","35.7",".","7.1",".","",".","14.3","",".",".","",".","",".","",".",".",".","."
"Ind Study in Med History","699
001","1","***","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Advanced Independent Study","999
001","1","***","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"MED HIST
452","Dept. Total","119","3.375","29.4","26.1","29.4","5.0","1.7","1.7","",".","5.9","",".",".","",".","",".","",".",".","0.8","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"452
MED HIST","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","3","3.833","66.7","33.3",".",".",".",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Sophomore","","12","3.375","33.3","16.7","41.7","8.3",".",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Junior","","25","3.276","40.0","16.0","24.0","8.0","8.0","4.0","",".",".","",".",".","",".","",".","",".",".",".","."
"Senior","","51","3.311","19.6","29.4","33.3","5.9",".","2.0","",".","9.8","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","91","3.328","28.6","24.2","30.8","6.6","2.2","2.2","",".","5.5","",".",".","",".","",".","",".",".",".","."
"Special","","7","3.600","14.3","57.1","14.3",".",".",".","",".","14.3","",".",".","",".","",".","",".",".",".","."
"Graduate","","19","3.722","36.8","26.3","26.3",".",".",".","",".","5.3","",".",".","",".","",".","",".",".","5.3","."
"Prof Yr 3","","2","3.500","50.0",".","50.0",".",".",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Professionals","","2","3.500","50.0",".","50.0",".",".",".","",".",".","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","119","3.375","29.4","26.1","29.4","5.0","1.7","1.7","",".","5.9","",".",".","",".","",".","",".",".","0.8","."
