"L&S","","","","","","","","","","","","","","","","","","","","",""
"HISTORY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"448
HISTORY","","","","","","","","","","","","","","","","","","","","",""
"HISTORY
448","Dept. Total","3898","3.290","27.6","27.5","23.2","9.3","4.2","0.8","1.0","4.3","",".","0.1","",".","0.7","0.3","0.4","0.6","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"448
HISTORY","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","407","3.320","25.8","33.2","26.8","10.1","2.2","0.7","0.5","0.2","",".",".","",".",".",".",".","0.5","."
"Sophomore","","706","3.289","25.5","30.9","27.6","10.2","3.7","0.4","1.0","0.3","",".",".","",".",".",".","0.4",".","."
"Junior","","975","3.168","21.3","29.8","27.0","11.3","5.6","1.6","1.8","0.6","",".",".","",".",".","0.2","0.5","0.1","."
"Senior","","1364","3.286","29.1","26.3","24.3","9.8","5.4","0.7","0.8","2.3","",".","0.1","",".",".","0.3","0.6","0.2","."
"Undergraduates","","3452","3.257","25.8","29.1","26.0","10.3","4.7","0.9","1.1","1.2","",".","0.1","",".",".","0.2","0.5","0.2","."
"Special","","89","3.496","20.2","14.6","3.4","3.4",".","1.1",".","47.2","",".",".","",".",".",".",".","10.1","."
"Graduate","","353","3.875","47.0","15.3","0.3",".",".",".",".","24.6","",".",".","",".","8.2","1.7",".","2.8","."
"Prof Yr 1","","2","2.929",".","50.0",".","50.0",".",".",".",".","",".",".","",".",".",".",".",".","."
"Prof Yr 2","","1","3.500",".","100.0",".",".",".",".",".",".","",".",".","",".",".",".",".",".","."
"Prof Yr 3","","1","3.500",".","100.0",".",".",".",".",".",".","",".",".","",".",".",".",".",".","."
"Professionals","","4","3.192",".","75.0",".","25.0",".",".",".",".","",".",".","",".",".",".",".",".","."
"","Dept. Total","3898","3.290","27.6","27.5","23.2","9.3","4.2","0.8","1.0","4.3","",".","0.1","",".","0.7","0.3","0.4","0.6","."
