"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","",""
"IES","","","","","","","","","","","","","","","","","","",""
"ENVIR ST - GAYLORD NELSON I","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"360
ENVIR ST","","","","","","","","","","","","","","","","","","",""
"Environmental Geology","106
001","52","2.615","7.7","5.8","38.5","9.6","34.6","1.9","1.9",".",".",".",".",".",".",".",".","."
"Envr St-Humanistic Perspctv","113
001","214","3.264","21.0","43.0","23.4","4.2","5.1","0.9","2.3",".",".",".",".",".",".",".",".","."
"","120
001","26","3.115","26.9","3.8","38.5","26.9","3.8",".",".",".",".",".",".",".",".",".",".","."
"","120
002","29","2.948","13.8","20.7","27.6","17.2","20.7",".",".",".",".",".",".",".",".",".",".","."
"Global Phys Environments","Course Total","55","3.027","20.0","12.7","32.7","21.8","12.7",".",".",".",".",".",".",".",".",".",".","."
"Atmspherc Envirnmnt&Society","121
001","64","3.119","26.6","17.2","21.9","25.0","6.3",".","1.6","1.6",".",".",".",".",".",".",".","."
"Principles-Envrnmtl Science","126
001","36","3.778","69.4","22.2","5.6",".","2.8",".",".",".",".",".",".",".",".",".",".","."
"","127
001","8","2.625","12.5","25.0","12.5",".","37.5","12.5",".",".",".",".",".",".",".",".",".","."
"","127
002","28","2.911","32.1","10.7","7.1","21.4","25.0",".","3.6",".",".",".",".",".",".",".",".","."
"Physical Systems of Envr","Course Total","36","2.847","27.8","13.9","8.3","16.7","27.8","2.8","2.8",".",".",".",".",".",".",".",".","."
"Global Chg: Atmospheric Iss","171
001","11","3.552","9.1","90.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Insects and Human Culture","201
001","9","3.500","55.6","11.1","11.1","22.2",".",".",".",".",".",".",".",".",".",".",".","."
"Soil: Ecosystem & Resource","230
001","10","2.850","20.0","10.0","20.0","20.0","30.0",".",".",".",".",".",".",".",".",".",".","."
"Intro-Aerial Photo Systems","301
001","15","3.667","53.3","40.0",".",".","6.7",".",".",".",".",".",".",".",".",".",".","."
"Elec-op&Micro Remote Sensng","302
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Remote Sensng Digtl Image","303
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Remote Sensng Vis Image&GIS","304
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Env Lit:Speaking for Nature","307
001","18","3.583","27.8","61.1","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Limnology-Aquatic Resources","315
001","29","3.103","41.4",".","31.0","6.9","13.8","6.9",".",".",".",".",".",".",".",".",".","."
"Analysis of Physical Envr","325
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","339
001","64","3.250","28.1","20.3","29.7","17.2","4.7",".",".",".",".",".",".",".",".",".",".","."
"","002
339","43","3.093","20.9","23.3","25.6","14.0","16.3",".",".",".",".",".",".",".",".",".",".","."
"Environmental Conservation","Course Total","107","3.187","25.2","21.5","28.0","15.9","9.3",".",".",".",".",".",".",".",".",".",".","."
"History of Ecology","353
001","10","3.450","40.0","10.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Extinction of Species","360
001","28","3.161","17.9","21.4","42.9","10.7","7.1",".",".",".",".",".",".",".",".",".",".","."
"Field Ecology Workshop","375
001","22","3.750","63.6","27.3","4.5","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Geog Info Systems","377
001","8","3.438","25.0","37.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","400
001","16","3.750","68.8","18.8","6.3","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"","002
400","9","3.125","33.3","22.2","22.2",".",".",".","11.1","11.1",".",".",".",".",".",".",".","."
"","400
003","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","004
400","13","3.900","69.2",".","7.7",".",".",".",".","15.4",".",".",".",".","7.7",".",".","."
"Spec Topics-Environ Studies","Course Total","43","3.659","62.8","14.0","9.3","2.3",".",".","2.3","7.0",".",".",".",".","2.3",".",".","."
"Geom Anal-Vert Aerial Photo","403
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Energy Resources","411
001","15","3.400","40.0","33.3","6.7","6.7","13.3",".",".",".",".",".",".",".",".",".",".","."
"Environmental Ethics","441
001","28","3.393","21.4","39.3","35.7","3.6",".",".",".",".",".",".",".",".",".",".",".","."
"Amer Environmental History","460
001","42","3.274","38.1","16.7","26.2","9.5","7.1",".","2.4",".",".",".",".",".",".",".",".","."
"Air Pollution&Human Health","502
001","36","3.639","52.8","22.2","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Renewable Resources Policy","515
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","600
001","12","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","600
002","19","3.421","15.8","52.6","31.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
600","9","3.556","88.9",".",".",".",".",".","11.1",".",".",".",".",".",".",".",".","."
"Envir Studies Cert Seminar","Course Total","40","3.575","47.5","35.0","15.0",".",".",".","2.5",".",".",".",".",".",".",".",".","."
"April 02, 2013","","","","","","","","","","","","","","","","","","Page 148 of 391",""
