"HORTICULTURE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"476
HORT","","","","","","","","","","","","","","","","","","","",""
"120
Survey of Horticulture","001","","60","3.292","33.3","23.3","25.0","11.7","3.3","3.3",".",".",".",".",".",".",".",".",".","."
"122
Introductory Horticulture","001","","26","3.596","57.7","15.4","19.2","3.8","3.8",".",".",".",".",".",".",".",".",".",".","."
"232
Herbaceous Ornamntl Plant I","001","","33","3.455","42.4","33.3","9.1","9.1","3.0","3.0",".",".",".",".",".",".",".",".",".","."
"261
Turf Management","001","","16","2.933","25.0",".","25.0","25.0","18.8",".",".","6.3",".",".",".",".",".",".",".","."
"263","001","","15","2.933","13.3","33.3","20.0","6.7","20.0","6.7",".",".",".",".",".",".",".",".",".","."
"263","002","","10","2.550",".","20.0","20.0","10.0","50.0",".",".",".",".",".",".",".",".",".",".","."
"Landscape Plants I","Course Total","","25","2.780","8.0","28.0","20.0","8.0","32.0","4.0",".",".",".",".",".",".",".",".",".","."
"299","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","025","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","037","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","7","3.818","85.7",".",".",".","14.3",".",".",".",".",".",".",".",".",".",".","."
"332
Nutrient Managmnt:Turfgrass","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"370
World Vegetable Crops","001","","35","3.279","34.3","20.0","20.0","11.4","11.4",".",".","2.9",".",".",".",".",".",".",".","."
"375
Special Topics","001","","23","3.978","95.7",".","4.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"399
Coord Intrnshp/Cooprtv Educ","028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"550
Molec Approach-Crop Improvt","001","","24","2.813","8.3","25.0","37.5","4.2","16.7","4.2","4.2",".",".",".",".",".",".",".",".","."
"571","001","","6","3.400","16.7","33.3","33.3",".",".",".",".","16.7",".",".",".",".",".",".",".","."
"571","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Stat Meth for Bioscience I","Course Total","","9","3.438","22.2","33.3","33.3",".",".",".",".","11.1",".",".",".",".",".",".",".","."
"699","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","2","***","","","","","","","","","","","","","","","",""
"799
Pract-Horticulture Teaching","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"812
Select Thry-Quant Traits","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"875
Special Topics","001","","10","4.000","90.0",".",".",".",".",".",".","10.0",".",".",".",".",".",".",".","."
"957
Seminar-Plant Breeding","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","006","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","011","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","021","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","023","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","024","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","027","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","028","","2","***","","","","","","","","","",".",".",".",".",".",".","."
