"","990
017","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
035","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Thesis Research","Course Total","12","",".",".",".",".",".",".",".","25.0",".",".",".","58.3",".",".","16.7","."
"Independent Research","999
004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"E ASIAN
295","Dept. Total","664","3.351","34.0","27.0","17.3","7.5","5.9","1.2","0.9","2.6","0.2","0.8",".","1.1","0.3","0.5","0.9","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"295
E ASIAN","","","","","","","","","","","","","","","","","","",""
"Freshmen","","135","3.234","30.4","28.9","14.8","13.3","8.9","2.2","1.5",".",".",".",".",".",".",".",".","."
"Sophomore","","152","3.328","31.6","28.3","21.1","8.6","7.9","1.3",".",".",".","0.7",".",".",".","0.7",".","."
"Junior","","153","3.359","34.0","24.8","21.6","4.6","2.6","2.0","2.0","4.6",".","0.7",".",".","1.3","1.3","0.7","."
"Senior","","134","3.298","26.1","29.1","20.1","9.0","7.5",".","0.7","4.5","0.7","1.5",".",".",".",".","0.7","."
"Undergraduates","","574","3.306","30.7","27.7","19.5","8.7","6.6","1.4","1.0","2.3","0.2","0.7",".",".","0.3","0.5","0.3","."
"Special","","10","3.630","40.0","50.0",".",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"Graduate","","77","3.837","58.4","19.5","3.9",".",".",".",".","5.2",".",".",".","9.1",".",".","3.9","."
"Prof Yr 1","","1","",".",".",".",".",".",".",".",".",".",".",".",".",".",".","100.0","."
"Prof Yr 3","","2","4.000","50.0",".",".",".",".",".",".",".",".","50.0",".",".",".",".",".","."
"Professionals","","3","4.000","33.3",".",".",".",".",".",".",".",".","33.3",".",".",".",".","33.3","."
"","Dept. Total","664","3.351","34.0","27.0","17.3","7.5","5.9","1.2","0.9","2.6","0.2","0.8",".","1.1","0.3","0.5","0.9","."
