"GEOLOGY & GEOPHYSICS","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"420
GEOLOGY","","","","","","","","","","","","","","","","","","","",""
"","100","001","139","2.855","25.9","13.7","18.0","16.5","13.7","9.4","2.2",".",".",".",".",".",".",".","0.7","."
"","100","002","134","3.038","27.6","13.4","26.1","11.9","14.9","3.7","0.7","1.5",".",".",".",".",".",".",".","."
"General Geology","","Course Total","273","2.944","26.7","13.6","22.0","14.3","14.3","6.6","1.5","0.7",".",".",".",".",".",".","0.4","."
"General Geology","101","001","32","3.047","28.1","12.5","31.3","9.4","15.6",".","3.1",".",".",".",".",".",".",".",".","."
"","102","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","102","004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Elementary Geology Lab","","Course Total","4","***","","","","","","","","","","","","","","","",""
"Survey of Oceanography","105","001","28","2.875","3.6","17.9","50.0","14.3","10.7","3.6",".",".",".",".",".",".",".",".",".","."
"Environmental Geology","106","001","74","2.872","12.2","13.5","37.8","12.2","23.0","1.4",".",".",".",".",".",".",".",".",".","."
"Life of the Past","107","001","38","2.764","23.7","7.9","13.2","15.8","26.3","7.9",".",".",".",".",".",".",".",".","5.3","."
"Geology of National Parks","109","001","89","3.046","14.6","16.9","43.8","12.4","9.0",".","1.1","1.1",".",".",".",".",".",".","1.1","."
"Evolution and Extinction","110","001","206","2.666","15.0",".","45.6","0.5","29.1","8.7","0.5",".",".",".",".",".",".","0.5",".","."
"","198","004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","198","024","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","2","***","","","","","","","","","","","","","","","",""
"Intro to Geologic Structures","202","001","39","3.051","25.6","15.4","38.5","5.1","7.7","5.1","2.6",".",".",".",".",".",".",".",".","."
"Physics&Chem-Earth's Interior","302","001","10","3.167","20.0","20.0","20.0","30.0",".",".",".","10.0",".",".",".",".",".",".",".","."
"Fluids & Sedimentary Processes","303","001","39","3.077","12.8","17.9","48.7","12.8","7.7",".",".",".",".",".",".",".",".",".",".","."
"Gems and Precious Stones","306","001","398","3.275","25.4","22.9","33.9","9.5","4.3","0.5","0.3","2.5",".",".",".",".","0.8",".",".","."
"Geomorphology","320","001","11","2.727",".","18.2","45.5","18.2","9.1","9.1",".",".",".",".",".",".",".",".",".","."
"The Age of Dinosaurs","333","001","381","2.871","12.9","16.0","34.9","12.1","17.1","1.6","2.4","2.9",".",".",".",".",".",".","0.3","."
"Energy Resources","411","001","31","3.339","19.4","48.4","22.6",".","9.7",".",".",".",".",".",".",".",".",".",".","."
"Intro to Applied Geophysics","594","001","18","3.250","27.8","16.7","38.9","11.1","5.6",".",".",".",".",".",".",".",".",".",".","."
"Fld Meth-Appl&Engr Geophysics","595","001","13","3.615","46.2","30.8","23.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Hydrogeology","627","001","25","3.120","16.0","24.0","44.0","8.0","4.0","4.0",".",".",".",".",".",".",".",".",".","."
"","691","011","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","691","013","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","691","015","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","691","017","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","691","025","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","","Course Total","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Senior Thesis","692","015","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","013","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","018","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","025","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","5","***","","","","","","","","","","","","","","","",""
"Igneous Petrology","771","001","8","3.688","50.0","37.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Electron Microprobe Anal","777","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Tectonophysics","797","001","8","3.625","50.0","25.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","875","001","22","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","875","002","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","875","003","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
