"L&S","","","","","","","","","","","","","","","","","","",""
"ECONOMICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"296
ECON","","","","","","","","","","","","","","","","","","",""
"","101
001","315","2.647","10.8","18.1","21.0","20.3","17.5","7.9","3.8","0.3","0.3",".",".",".",".",".",".","."
"","002
101","352","2.630","12.2","14.5","19.9","20.7","21.9","7.4","3.1","0.3",".",".",".",".",".",".",".","."
"","003
101","395","2.941","20.3","21.5","19.7","16.2","16.7","4.6","1.0",".",".",".",".",".",".",".",".","."
"","004
101","391","2.987","12.8","23.8","34.3","16.6","6.9","2.3","2.0","1.3",".",".",".",".",".",".",".","."
"Principles-Microeconomics","Course Total","1453","2.814","14.2","19.7","24.0","18.3","15.5","5.4","2.4","0.5","0.1",".",".",".",".",".",".","."
"","102
001","169","3.080","23.1","23.1","26.0","16.6","6.5","2.4","2.4",".",".",".",".",".",".",".",".","."
"","102
002","122","2.955","23.0","22.1","23.0","16.4","4.9","4.1","5.7","0.8",".",".",".",".",".",".",".","."
"","003
102","232","3.078","18.1","25.0","28.0","17.2","9.1","1.3","0.9","0.4",".",".",".",".",".",".",".","."
"Principles-Macroeconomics","Course Total","523","3.050","20.8","23.7","26.2","16.8","7.3","2.3","2.5","0.4",".",".",".",".",".",".",".","."
"Prin/Econ-Accelratd Treatmt","111
001","19","2.921","21.1","15.8","31.6",".","26.3","5.3",".",".",".",".",".",".",".",".",".","."
"Bascom Course","236
001","16","3.656","62.5","6.3","31.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
001","7","2.643",".",".","42.9","42.9","14.3",".",".",".",".",".",".",".",".",".",".","."
"","300
002","13","3.231","15.4","30.8","38.5","15.4",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Finance","Course Total","20","3.025","10.0","20.0","40.0","25.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"","301
001","105","3.014","14.3","28.6","31.4","10.5","7.6","5.7","1.0","1.0",".",".",".",".",".",".",".","."
"","301
002","107","2.990","17.8","23.4","24.3","19.6","6.5","2.8","2.8","1.9",".",".",".",".",".","0.9",".","."
"Intmed Microeconomic Theory","Course Total","212","3.002","16.0","25.9","27.8","15.1","7.1","4.2","1.9","1.4",".",".",".",".",".","0.5",".","."
"","302
001","115","3.053","16.5","25.2","31.3","14.8","7.0","3.5","0.9","0.9",".",".",".",".",".",".",".","."
"","002
302","111","2.968","18.0","19.8","33.3","9.9","10.8","6.3","0.9","0.9",".",".",".",".",".",".",".","."
"Intmed Macroeconomic Theory","Course Total","226","3.011","17.3","22.6","32.3","12.4","8.8","4.9","0.9","0.9",".",".",".",".",".",".",".","."
"The Real Estate Process","306
001","72","2.754","9.7","15.3","20.8","33.3","15.3","2.8","1.4","1.4",".",".",".",".",".",".",".","."
"Stats:Measrmnt in Economics","310
001","111","2.676","11.7","12.6","36.9","10.8","16.2","6.3","5.4",".",".",".",".",".",".",".",".","."
"","320
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","320
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Investment Theory","Course Total","2","***","","","","","","","","","","","","","","","",""
"Public Utilities","001
325","9","3.000","22.2","22.2","22.2",".","33.3",".",".",".",".",".",".",".",".",".",".","."
"Money and Banking","330
001","183","3.204","16.4","31.1","32.2","14.8","4.4",".",".","0.5",".",".",".",".","0.5",".",".","."
"Survey-Internatl Economics","364
001","82","2.930","15.9","12.2","35.4","11.0","20.7","1.2",".","1.2",".",".",".",".",".","2.4",".","."
"Contemporary Economic Issues","390
000A","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Introductory Econometrics","410
001","36","3.083","22.2","27.8","16.7","22.2","8.3",".","2.8",".",".",".",".",".",".",".",".","."
"Urban & Regional Economics","420
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Quant Mthds-Ag & Appl Econ","426
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Analytical Public Finance","441
001","69","3.014","33.3",".","39.1","5.8","17.4","1.4","2.9",".",".",".",".",".",".",".",".","."
"Wages and the Labor Market","450
001","40","3.200","30.0","17.5","32.5","12.5","5.0",".","2.5",".",".",".",".",".",".",".",".","."
"Race,Gendr,Ethn-Labor Markt","460
001","20","3.559","50.0","15.0","5.0","10.0","5.0",".",".","15.0",".",".",".",".",".",".",".","."
"Internatl Trade & Finance","464
001","91","3.068","20.9","16.5","30.8","16.5","9.9","2.2",".","1.1",".",".",".",".",".","2.2",".","."
"American Economy to 1865","001
465","16","3.317","25.0","43.8","18.8","6.3",".","6.3",".",".",".",".",".",".",".",".",".","."
"Indus Organizat/Imperf Comp","468
001","29","3.190","31.0","20.7","20.7","17.2","6.9","3.4",".",".",".",".",".",".",".",".",".","."
"Econ Grwth&Devlpmnt-SE Asia","473
001","8","2.938","37.5",".","12.5","12.5","37.5",".",".",".",".",".",".",".",".",".",".","."
"Economics of Growth","475
001","56","3.100","37.5","12.5","19.6",".","25.0","1.8","1.8","1.8",".",".",".",".",".",".",".","."
"Agri & Econ Development-Africa","477
001","13","3.192","15.4","38.5","23.1","15.4","7.7",".",".",".",".",".",".",".",".",".",".","."
"Economics of Transportation","502
001","23","2.717","4.3","26.1","26.1","21.7","13.0","4.3","4.3",".",".",".",".",".",".",".",".","."
"April 02, 2013","","","","","","","","","","","","","","","","","","Page 190 of 391",""
