"","990
077","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
082","7","",".",".",".",".",".",".",".","28.6",".",".",".","71.4",".",".",".","."
"Research","Course Total","39","",".",".",".",".",".",".",".","79.5",".",".",".","20.5",".",".",".","."
"Advanced Independent Study","999
048","3","***","","","","","","","","","",".",".",".",".",".",".","."
"PHM SCI
718","Dept. Total","1803","3.134","26.3","17.4","24.7","11.0","10.0","1.0","0.3","1.9",".","7.0",".","0.4",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"718
PHM SCI","","","","","","","","","","","","","","","","","","",""
"Freshmen","","6","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Sophomore","","31","3.119","29.0","22.6","9.7","25.8","9.7","3.2",".",".",".",".",".",".",".",".",".","."
"Junior","","135","3.338","33.3","23.0","29.6","8.1","5.2","0.7",".",".",".",".",".",".",".",".",".","."
"Senior","","155","3.351","46.5","12.9","17.4","9.7","7.7","3.2","0.6","1.9",".",".",".",".",".",".",".","."
"Undergraduates","","327","3.335","39.4","18.7","21.4","10.4","6.7","2.1","0.3","0.9",".",".",".",".",".",".",".","."
"Special","","2","3.400","50.0",".","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Graduate","","110","3.821","56.4","3.6","3.6","0.9",".",".",".","28.2",".",".",".","7.3",".",".",".","."
"Prof Yr 1","","246","2.817","10.2","16.7","28.9","21.1","20.7","1.2","0.8",".",".","0.4",".",".",".",".",".","."
"Prof Yr 2","","761","3.212","25.2","17.7","23.4","8.8","8.3","0.5",".",".",".","16.0",".",".",".",".",".","."
"Prof Yr 3","","352","3.074","18.5","20.7","33.8","12.2","12.2","1.1","0.3",".",".","1.1",".",".",".",".",".","."
"Prof Yr 4","","5","2.100",".",".","40.0","20.0","20.0",".","20.0",".",".",".",".",".",".",".",".","."
"Professionals","","1364","3.054","20.7","18.3","27.1","12.0","11.6","0.8","0.3",".",".","9.3",".",".",".",".",".","."
"","Dept. Total","1803","3.134","26.3","17.4","24.7","11.0","10.0","1.0","0.3","1.9",".","7.0",".","0.4",".",".",".","."
