"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","",""
"OTM","","","","","","","","","","","","","","","","","","","",""
"Sophomore","1","3.000",".",".","100.0",".",".",".",".",".","",".",".","",".",".",".",".",".","."
"Junior","127","2.898","12.6","15.7","33.1","18.9","18.1","1.6",".",".","",".",".","",".",".",".",".",".","."
"Senior","224","3.147","20.1","25.9","29.0","12.1","10.7","0.9",".","1.3","",".",".","",".",".",".",".",".","."
"Undergraduates","352","3.056","17.3","22.2","30.7","14.5","13.4","1.1",".","0.9","",".",".","",".",".",".",".",".","."
"Special","24","2.646","37.5","16.7","8.3","4.2","8.3","4.2","20.8",".","",".",".","",".",".",".",".",".","."
"Graduate","322","3.776","68.0","17.4","7.1","2.5","1.6",".","0.3","1.9","",".",".","",".","0.3","0.3","0.6",".","."
"Prof Yr 2","2","3.700","50.0","50.0",".",".",".",".",".",".","",".",".","",".",".",".",".",".","."
"Prof Yr 3","4","2.875",".","25.0","50.0",".","25.0",".",".",".","",".",".","",".",".",".",".",".","."
"Professionals","6","3.192","16.7","33.3","33.3",".","16.7",".",".",".","",".",".","",".",".",".",".",".","."
