"EDU","","","","","","","","","","","","","","","","","","","",""
"CURRICULUM AND INSTRUCTIO Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"272
CURRIC","","","","","","","","","","","","","","","","","","","",""
"School Services-Com Dis","392
001","","36","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Teach Secondary Schl Math I","393
001","","13","3.423","61.5","15.4","7.7","7.7",".",".","7.7",".",".",".",".",".",".",".",".","."
"Teaching of English","396
001","","16","3.781","75.0","12.5","6.3","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"","399
021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
077","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","2","***","","","","","","","","","","","","","","","",""
"","001
422","","36","3.986","97.2","2.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","422
002","","36","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"The Teaching of Children's Lit","Course Total","","72","3.993","98.6","1.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","425
001","","25","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","425
002","","25","3.900","88.0","8.0",".","4.0",".",".",".",".",".",".",".",".",".",".",".","."
"Concrn&Constrnt-Tch Yng Chl","Course Total","","50","3.950","94.0","4.0",".","2.0",".",".",".",".",".",".",".",".",".",".",".","."
"","440
001","","28","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","440
002","","21","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","440
003","","21","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","440
004","","9","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Elem Teaching Practicum IV","Course Total","","79","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Stdt Teach-Sec Schl French","446
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Stdt Teach-Sec Schl Spanish","456
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Stdt Tchg-Health Education","457
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Stdt Tch-His&Soc St Mid Sch","458
001","","8","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Stdt Tchg Hist&Soc St in HS","459
001","","7","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Seminar:K-Mid Schl Teaching","463
001","","55","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Stdt Tchg in Elem School","464
001","","40","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Stdt Tchg-Kindergarten","465
001","","7","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","466
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","466
002","","6","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Stdt Teaching-Music:Elem","Course Total","","10","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","467
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","467
002","","6","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Stdt Teaching-Music:Secndry","Course Total","","10","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Stdt Teaching Engl-Mid Schl","472
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Stdt Teach-Science in H.S.","490
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Student Teaching in HS Math","494
001","","9","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Stdt Teach Sci-MiddleSchl","495
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Stdt Teaching-English in HS","496
001","","12","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Stdt Teach-Middle Schl Math","497
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Stdt Teaching-Middle School","498
001","","8","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Literacy & Language Developmnt","500
001","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Health Info for Teachers","501
001","","117","3.752","59.8","33.3","4.3","2.6",".",".",".",".",".",".",".",".",".",".",".","."
"","506
001","","75","3.947","92.0","6.7",".","1.3",".",".",".",".",".",".",".",".",".",".",".","."
"","002
506","","86","3.919","91.9",".","8.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"April 02, 2013","","","","","","","","","","","","","","","","","","","","Page 86 of 391"
