"MEDICAL SCIENCES - VET MED","Section","#","Ave","A","AB","B","BC","C","D","F","","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"623
MED SC-V","","","","","","","","","","","","","","","","","","","",""
"","775
029","1","***","","","","","","","","","","",".",".",".",".",".",".","."
"Externship","Course Total","27","",".",".",".",".",".",".","",".","100.0",".",".",".",".",".",".",".","."
"MED SC-V
623","Dept. Total","703","3.218","18.9","3.3","12.4","1.8","2.3","0.1","",".","38.4",".",".",".","22.2","0.1",".","0.4","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"623
MED SC-V","","","","","","","","","","","","","","","","","","","",""
"Special","","11","2.929","18.2",".","9.1",".","9.1",".","",".","54.5",".",".",".",".",".",".","9.1","."
"Prof Yr 1","","122","",".",".",".",".",".",".","",".","32.8",".",".",".","65.6",".",".","1.6","."
"Prof Yr 2","","86","4.000","2.3",".",".",".",".",".","",".","8.1",".",".",".","88.4","1.2",".",".","."
"Prof Yr 3","","222","3.001","36.0","10.4","38.7","5.9","6.8",".","",".","2.3",".",".",".",".",".",".",".","."
"Prof Yr 4","","333","3.974","34.8",".",".",".",".","0.3","",".","64.9",".",".",".",".",".",".",".","."
"Professionals","","763","3.221","26.0","3.0","11.3","1.7","2.0","0.1","",".","35.1",".",".",".","20.4","0.1",".","0.3","."
"","Dept. Total","774","3.218","25.8","3.0","11.2","1.7","2.1","0.1","",".","35.4",".",".",".","20.2","0.1",".","0.4","."
