"CONSUMER SCIENCE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"271
CNSR SCI","","","","","","","","","","","","","","","","","","","",""
"Consumer Finance","275
001","","122","3.095","29.5","23.0","18.9","7.4","14.8","4.1","1.6",".",".",".",".",".","0.8",".",".","."
"Mediatn:Serving Consumr Int","350
001","","70","3.764","70.0","20.0","7.1","1.4",".","1.4",".",".",".",".",".",".",".",".",".","."
"Retailing Theory & Practice","357
002","","39","3.897","89.7","5.1",".","5.1",".",".",".",".",".",".",".",".",".",".",".","."
"Comp Applicatns-Retailing","370
002","","23","3.804","69.6","21.7","8.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Hist-Consumr Movemnts in US","470
001","","23","3.652","34.8","60.9","4.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Family Economics","475
001","","45","3.344","20.0","46.7","17.8","13.3","2.2",".",".",".",".",".",".",".",".",".",".","."
"The Consumer and the Market","477
001","","77","2.987","3.9","33.8","27.3","23.4","10.4",".",".",".",".",".",".",".","1.3",".",".","."
"Consumer Information","478
001","","30","3.250","30.0","23.3","26.7","6.7","13.3",".",".",".",".",".",".",".",".",".",".","."
"","501
001","","34","3.353","38.2","20.6","23.5","8.8","8.8",".",".",".",".",".",".",".",".",".",".","."
"","501
003","","25","3.240","28.0","16.0","40.0","8.0","8.0",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","Course Total","","59","3.305","33.9","18.6","30.5","8.5","8.5",".",".",".",".",".",".",".",".",".",".","."
"Retail Promotion","560
001","","28","3.857","82.1","7.1","10.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar in Consumer Science","565
001","","16","3.969","93.8","6.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Consumer Science Internship","601
015","","26","3.728","76.9","11.5","3.8",".",".",".","7.7",".",".",".",".",".",".",".",".","."
"Field Experience-Retailing","602
015","","8","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Retailing Internship","603
015","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Consumer Finance","627
001","","48","3.208","18.8","37.5","27.1","12.5",".","2.1","2.1",".",".",".",".",".",".",".",".","."
"","657
001","","27","2.833","14.8","29.6","29.6","11.1",".","3.7","11.1",".",".",".",".",".",".",".",".","."
"","657
002","","52","3.856","86.5","9.6","1.9",".",".",".","1.9",".",".",".",".",".",".",".",".","."
"Consumer Behavior","Course Total","","79","3.506","62.0","16.5","11.4","3.8",".","1.3","5.1",".",".",".",".",".",".",".",".","."
"","699
005","","16","3.944","93.8",".","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
009","","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Independent Study","Course Total","","36","3.979","97.2",".","2.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","001
960","","14","3.708","64.3","28.6","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
960","","12","3.542","33.3","41.7","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar: Consumer Research","Course Total","","26","3.608","50.0","34.6","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990
005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","2","***","","","","","","","","","","","","","","","",""
"","999
006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
012","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","3","***","","","","","","","","","","","","","","","",""
