"BUS","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ACTUARIAL SCIENCE","Section","#","","Ave","A","AB","B","BC","C","D","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","",""
"242
ACT SCI","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","300
001","","18","3.972","94.4","5.6",".",".",".",".",".","",".","",".","",".",".","",".","",".","",".",".","."
"","300
002","","10","3.800","60.0","40.0",".",".",".",".",".","",".","",".","",".",".","",".","",".","",".",".","."
"Actuarial Science Methods","Course Total","","28","3.911","82.1","17.9",".",".",".",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Actuarial Mathematics 1","650
001","","38","3.526","44.7","26.3","23.7",".","5.3",".",".","",".","",".","",".",".","",".","",".","",".",".","."
"Risk Theory and Credibility","652
001","","33","3.258","36.4","18.2","21.2","15.2","6.1","3.0",".","",".","",".","",".",".","",".","",".","",".",".","."
"ACT SCI
242","Dept. Total","","99","3.461","52.5","21.2","16.2","5.1","4.0","1.0","",".","",".","",".",".","",".","",".","",".",".",".","."
"Summary by Level","","#","","Ave","A","AB","B","BC","C","D","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","",""
"242
ACT SCI","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","","5","4.000","100.0",".",".",".",".",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Junior","","","35","3.409","45.7","31.4","14.3",".","8.6",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Senior","","","43","3.293","41.9","18.6","23.3","11.6","2.3","2.3","",".","",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","","83","3.358","47.0","22.9","18.1","6.0","4.8","1.2","",".","",".","",".",".","",".","",".","",".",".",".","."
"Graduate","","","16","3.875","81.3","12.5","6.3",".",".",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","","99","3.461","52.5","21.2","16.2","5.1","4.0","1.0","",".","",".","",".",".","",".","",".","",".",".",".","."
